번호,문제,보기1,보기2,보기3,보기4,정답
1,소화원리에 대한 설명으로 틀린 것은?,냉각소화 : 물의 증발잠열에 의해서 가연물의 온도를 저 하시키는 소화방법,제거효과 : 가연성 가스의 분출화재 시 연료공급을 차단 시키는 소화방법,질식소화 : 포소화약제 또는 불연성가스를 이용해서 공기 중의 산소공급을 차단하여 소화하는 방법,억제소화 : 불활성기체를 방출하여 연소범위 이하로 낮추 어 소화하는 방법,4
2,할로겐화합물 청정소화약제는 일반적으로 열을 받으면 할로 겐족이 분해되어 가연물질의 연소 과정에서 발생하는 활성종 과 화합하여 연소의 연쇄반응을 차단한다. 연쇄반응의 차단과 가장 거리가 먼 소화약제는?,FC-3-1-10,HFC-125,IG-541,FIC-1311,3
3,"물의 소화력을 증대시키기 위하여 첨가하는 첨가제 중 물의 유실을 방지하고 건물, 임야 등의 입체 면에 오랫동안 잔류하 게 하기 위한 것은?",증점제,강화액,침투제,유화제,1
4,화재 시 이산화탄소를 방출하여 산소농도를 13vol%로 낮추어 소화하기 위한 공기 중 이산화탄소의 농도는 약 몇 vol%인 가?,9.5,25.8,38.1,61.5,3
5,다음 중 인명구조기구에 속하지 않는 것은?,방열복,공기안전매트,공기호흡기,인공소생기,2
6,다음 중 인화점이 가장 낮은 물질은?,산화프로필렌,이황화탄소,메틸알코올,등류,1
7,"화재의 지속시간 및 온도에 따라 목재건물과 내화건물을 비 교했을 때, 목재건물의 화재성상으로 가장 적합한 것은?",저온장기형이다.,저온단기형이다.,고온장기형이다.,고온단기형이다.,4
8,방화벽의 구조 기준 중 다음 ()안에 알맞은 것은?,"㉠ 0.3, ㉡ 2.5","㉠ 0.3, ㉡ 3.0","㉠ 0.5, ㉡ 2.5","㉠ 0.5, ㉡ 3.0",3
9,"에테르, 케톤, 에스테르, 알데히드, 카르복실산, 아민 등과 같 은 가연성인 수용성 용매에 유효한 포소화약제는?",단백포,수성막포,불화단백포,내알코올포,4
10,특정소방대상물(소방안전관리대상물은 제외)의 관계인과 소 방안전관리대상물의 소방안전관리자의 업무가 아닌 것은?,화기 취급의 감독,자체소방대의 운용,소방 관련 시설의 유지ㆍ관리,"피난시설, 방화구획 및 방화시설의 유지ㆍ관리",2
11,화재의 유형별 특성에 관한 설명으로 옳은 것은?,"A급 화재는 무색으로 표시하며, 감전의 위험이 있으므로 주수소화를 엄금한다.","B급 화재는 황색으로 표시하며, 질식소화를 통해 화재를 진압한다.","C급 화재는 백색으로 표시하며, 가연성이 강한 금속의 화재이다.","D급 화재는 청색으로 표시하며, 연소 후에 재를 남긴다.",2
12,화재발생 시 인명피해 방지를 위한 건물로 적합한 것은?,피난설비가 없는 건물,특별피난계단의 구조로 된 건물,피난기구가 관리되고 있지 않은 건물,피난구 폐쇄 및 피난구유도등이 미비되어 있는 건물,2
13,프로판가스의 연소범위(vol%)에 가장 가까운 것은?,9.8~28.4,2.5~81,4.0~75,2.1~9.5,4
14,불포화 섬유지나 석탄에 자연발화를 일으키는 원인은?,분해열,산화열,발효열,중합열,2
15,CF Br 소화약제의 명칭을 옳게 나타낸 것은?,,,,,3
16,"다음 중 전산실, 통신 기기실 등에서의 소화에 가장 적합한 것은?",스프링클러설비,옥내소화전설비,분말소화설비,할로겐화합물 및 불활성기체 소화설비,4
17,가연물의 제거와 가장 관련이 없는 소화방법은?,유류화재 시 유류공급 밸브를 잠근다.,산불화재 시 나무를 잘라 없앤다.,팽창 진주암을 사용하여 진화한다.,가스화재 시 중간밸브를 잠근다.,3
18,"독성이 매우 높은 가스로서 석유제품, 유지(油脂) 등이 연소 할 때 생성되는 알데히계통의 가스는?",시안화수소,암모니아,포스겐,아크롤레인,4
19,BLEVE 현상을 설명한 것으로 가장 옳은 것은?,물이 뜨거운 기름표면 아래에서 끓을 때 화재를 수반하 지 않고 over flow 되는 현상,물이 연소유의 뜨거운 표면에 들어갈 때 발생되는 over flow 현상,탱크 바닥에 물과 기름의 에멀젼이 섞여있을 때 물의 비 등으로 인하여 급격하게 over flow 되는 현상,탱크 주위 화재로 탱크 내 인화성 액체가 비등하고 가스 부분의 압력이 상승하여 탱크가 파괴되고 폭발을 일으키 는 현상,4
20,화재강도(Fire Intensity)와 관계가 없는 것은?,가연물의 비표면적,발화원의 온도,화재실의 구조,가연물의 발열량 2과목 : 소방유체역학,2
21,아래 그림과 같이 두 개의 가벼운 공 사이로 빠른 기류를 불어 넣으면 두 개의 공은 어떻게 되겠는가?,뉴턴의 법칙에 따라 벌어진다.,뉴턴의 법칙에 따라 가까워진다.,베르누이의 법칙에 따라 벌어진다.,베르누이의 법칙에 따라 가까워진다.,4
22,다음 유체 기계드의 압력 상승이 일반적으로 큰 것부터 순 서대로 바르게 나열한 것은?,압축기(compressor)＞블로어(blower)＞팬(fan),블로어(blower)＞압축기(compressor)＞팬(fan),팬(fan)＞블로어(blower)＞압축기(compressor),팬(fan)＞압축기(compressor)＞블로어(blower),1
23,표면적이 같은 두 물체가 있다. 표면온도가 2000K인 물체가 내는 복사에너지는 표면온도가 1000K인 물체가 내는 복사 에너지의 몇 배인가?,4,8,16,32,3
24,"이상기체의 폴리트로픽 변화 'PVn=일정‘에서 n=1인 경우 어 느 변화에 속하는가? (단, P는 압력, V는 부피, n은 폴리트 로프 지수를 나타낸다.)",단열변화,등온변화,정적변화,정압변화,2
25,지름이 75mm인 관로 속에 평균 속도 4m/s로 흐르고 있을 때 유량(kg/s)은?,15.52,16.92,17.67,18.52,3
