번호,문제,보기1,보기2,보기3,보기4,정답
1,스테판-볼쯔만의 법칙에 의해 복사열과 절대온도와의 관계를 옳게 설명한 것은?,복사열은 절대온도의 제곱에 비례한다.,복사열은 절대온도의 4제곱에 비례한다.,복사열은 절대온도의 제곱에 반비례한다.,복사열은 절대온도의 4제곱에 반비례한다.,2
2,물을 사용하여 소화가 가능한 물질은?,트리메틸알루미늄,나트륨,칼륨,적린,4
3,화씨 95도를 켈빈(Kelvin)온도로 나타내면 약 몇 K 인가?,178,252,308,368,3
4,알킬알루미늄 화재에 적합한 소화약제는?,물,이산화탄소,팽창질석,할로겐화합물,3
5,제1종 분말 소화약제의 열분해 반응식으로 옳은 것은? ① 2NaHCO → Na CO + CO +H O,,,,,1
6,폭굉(Detonation)에 관한 설명으로 틀린 것은?,연소속도가 음속보다 느릴 때 나타난다.,온도의 상승은 충격파의 압력에 기인한다.,압력상승은 폭연의 경우보다 크다.,폭굉의 유도거리는 배관의 지름과 관계가 있다.,1
7,화재의 종류에 따른 표시 색 연결이 틀린 것은?,일반화재 - 백색,전기화재 - 청색,금속화재 - 흑색,유류화재 - 황색,3
8,화재 및 폭발에 관한 설명으로 틀린 것은?,메탄가스는 공기보다 무거우므로 가스탐지부는 가스기구 의 직하부에 설치한다.,옥외저장탱크의 방유제는 화재 시 화재의 확대를 방지하 기 위한 것이다.,가연성 분진이 공기 중에 부유하면 폭발할 수도 있다.,마그네슘의 화재 시 주수 소화는 화재를 확대할 수 있다.,1
9,굴뚝효과에 관한 설명으로 틀린 것은?,건물내ㆍ외부의 온도차에 따른 공기의 흐름 현상이다.,굴뚝효과는 고층건물에서는 잘 나타나지 않고 저층건물에 서 주로 나타난다.,평상시 건물 내의 기류분포를 지배하는 중요요소이며 화 재 시 연기의 이동에 큰 영향을 미친다.,건물외부의 온도가 내부의 온도보다 높은 경우 저층부에 서는 내부에서 외부로 공기의 흐름이 생긴다.,2
10,위험물안전관리법상 위험물의 지정수량이 틀린 것은?,과산화나트륨 - 50 kg,적린 - 100 kg,트리니트로톨루엔 - 200 kg,탄화알루미늄 - 400 kg,4
11,연쇄반응을 차단하여 소화하는 약제는?,물,포,할론 1301,이산화탄소,3
12,화재 발생 시 인간의 피난 특성으로 틀린 것은?,본능적으로 평상시 사용하는 출입구를 사용한다.,최초로 행동을 개시한 사람을 따라서 움직인다.,공포감으로 인해서 빛을 피하여 어두운 곳으로 몸을 숨 긴다.,무의식 중에 발화 장소의 반대쪽으로 이동한다.,3
13,에스테르가 알칼리의 작용으로 가수분해 되어 알코올과 산 의 알칼리염이 생성되는 반응은?,수소화 분해반응,탄화 반응,비누화 반응,할로겐화 반응,3
14,위험물에 관한 설명으로 틀린 것은?,유기금속화합물인 사에틸납은 물로 소화할 수 없다.,황린은 자연발화를 막기 위해 통상 물속에 저장한다.,"칼륨, 나트륨은 등유 속에 보관한다.",유황은 자연발화를 일으킬 가능성이 없다.,1
15,블레비(BLEVE) 현상과 관계가 없는 것은?,핵분열,가연성액체,화구(Fire ball)의 형성,복사열의 대량 방출,1
16,"소화기구는 바닥으로부터 높이 몇 m 이하의 곳에 비치하여 야 하는가? (단, 자동소화장치를 제외한다.)",0.5,1.0,1.5,2.0,3
17,제4류 위험물의 화재 시 사용되는 주된 소화방법은?,물을 뿌려 냉각한다.,연소물을 제거한다.,포를 사용하여 질식 소화한다.,인화점 이하로 냉각한다.,3
18,증발잠열을 이용하여 가연물의 온도를 떨어뜨려 화재를 진 압하는 소화방법은?,제거소화,억제소화,질식소화,냉각소화,4
19,분말소화약제 중 담홍색 또는 황색으로 착색하여 사용하는 것은?,탄산수소나트륨,탄산수소칼륨,제1인산암모늄,탄산수소칼륨과 요소와의 반응물,3
20,건축물의 내화구조 바닥이 철근콘크리조 또는 철골천근콘크 리트조인 경우 두께가 몇 cm 이상이어야 하는가?,4,5,7,10 2과목 : 소방유체역학,4
21,"배연설비의 배관을 흐르는 공기의 유속을 피토정압관으로 측정할 때 정압단과 정체압단에 연결된 U자관의 수은 기둥 높이차가 0.03m 이었다. 이 때 공기의 속도는 약 몇 m/s 인가? (단, 공기의 비중은 0.00122, 수은의 비중 13.6이다.)",81,86,91,96,1
22,펌프 입구의 진공계 및 출구의 압력계 지침이 흔들리고 송 출유량도 주기적으로 변화하는 이상 현상은?,공동현상(cavitation),수격작용(water hammering),맥동현상(surging),언밸런스(unbalance),3
23,동일한 성능의 두 펌프를 직렬 또는 병렬로 연결하는 경우 의 주된 목적은?,"직렬 : 유량 증가, 병렬 : 양정 증가","직렬 : 유량 증가, 병렬 : 유량 증가","직렬 : 양정 증가, 병렬 : 유량 증가","직렬 : 양정 증가, 병렬 : 양정 증가",3
24,액체가 일정한 유량으로 파이프를 흐를 때 유체속도에 대한 설명으로 틀린 것은?,관 지름에 반비례한다.,관 단면적에 반비례한다.,관 지름의 제곱에 반비례한다.,관 반지름의 제곱에 반비례한다.,1
25,매끈한 원관을 통과하는 난류의 관마찰계수에 영향을 미치 지 않는 변수는?(오류 신고가 접수된 문제입니다. 반드시 정 답과 해설을 확인하시기 바랍니다.),길이,속도,직경,밀도,1
26,"온도 20℃의 물을 계기압력이 400kPa인 보일러에 공급하여 포화수증기 1kg을 만들고자 한다. 주어진 표를 이용하여 필 요한 열량을 구하면? (단, 대기압은 100kPa, 액체상태 물의 평균비열은 4.18 kJ/kgK이다.)",2640,2651,2660,2667,3
27,"구조가 상사한 2대의 펌프에서, 유동상태가 상사할 경우 2 대의 펌프 사이에 성립하는 상사법칙이 아닌 것은? (단, 비 압축성유체인 경우이다.)",유량에 관한 상사법칙,전양정에 관한 상사법칙,축동력에 관한 상사법칙,밀도에 관한 상사법칙,4
28,"질량 4kg의 어떤 기체로 구성된 밀폐계가 열을 받아 100kJ 의 일을 하고, 이 기체의 온도가 10℃상승하였다면 이 계가 받은 열은 몇 kJ인가? (단, 이 기체의 정적비열은 5kJ/kgㆍ K, 정압비열은 6kJ/kgㆍK 이다.)",200,240,300,340,3
29,"다음 보기는 열역학적 사이클에서 일어나는 여러 가지의 과 정이다. 이들 중, 카르노(Carnot) 사이클에서 일어나는 과정 을 모두 고른 것은?",㉠,"㉠,㉡","㉡,㉢,㉣","㉠,㉡,㉢,㉣",2
