번호,문제,보기1,보기2,보기3,보기4,정답
1,공기와 접촉되었을 때 위험도(H)가 가장 큰 것은?,에테르,수소,에틸렌,부탄,1
2,3 4 2 4 ③ KHCO ④ NaHCO,,,,,1
3,주요구조부가 내화구조로된 건축물에서 거실 각 부분으로부 터 하나의 직통계단에 이르는 보행거리는 피난자의 안전상 몇 m 이하이어야 하는가?,50,60,70,80,1
4,제2류 위험물에 해당하지 않는 것은?,유황,황화린,적린,황린,4
5,화재에 관련된 국제적인 규정을 제정하는 단체는?,IMO(International Matritime Organization),SEPE(Society of Fire Protection Engineers),NFPA(Nation Fire Protection Association),ISO(International Organization for Standardization) TC,4
6,이산화탄소 소화약제의 임계온도로 옳은 것은?,24.4 ℃,31.1 ℃,56.4 ℃,78.2 ℃,2
7,위험물안전관리법령상 위험물의 지정수량이 틀린 것은?,과산화나트륨 – 50kg,적린 - 100kg,트리니트로톨루엔 - 200kg,탄화알루미늄 – 400kg,4
8,물질의 취급 또는 위험성에 대한 설명 중 틀린 것은?,융해열은 점화원이다.,질산은 물과 반응시 발열 반응하므로 주의를 해야한다.,"네온, 이산화탄소, 질소는 불연성 물질로 취급한다.",암모니아를 충전하는 공업용 용기의 색상은 백색이다.,1
9,"인화점이 40℃ 이하인 위험물을 저장, 취급하는 장소에 설치 하는 전기설비는 방폭구조로 설치하는데, 용기의 내부에 기체 를 압입하여 압력을 유지하도록 함으로써 폭발성가스가 침입 하는 것을 방지하는 구조는?",압력 방폭구조,유입 방폭구조,안전증 방폭구조,본질안전 방폭구조,1
10,화재의 분류방법 중 유류화재를 나타낸 것은?,A급 화재,B급 화재,C급 화재,D급 화재,2
11,마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으 로 인하여 생성되는 가스는?,산소,수소,일산화탄소,이산화탄소,2
12,물의 기화열이 539.6 cal/g 인 것은 어떤 의미인가?,0℃의 물 1g이 얼음으로 변화하는데 539.6 cal 의 열량 이 필요하다.,0℃의 물 1g이 물로 변화하는데 539.6 cal 의 열량이 필 요하다.,0℃의 물 1g이 100℃의 물로 변화하는데 539.6 cal 의 열량이 필요하다.,100℃의 물 1g이 수증기로 변화하는데 539.6 cal 의 열 량이 필요하다.,4
13,방화구획의 설치기준 중 스프링클러 기타 이와 유사한 자동 식소화설비를 설치한 10층 이하의 층은 몇 m2 이내마다 구 획하여야 하는가?,1000,1500,2000,3000,4
14,불활성 가스에 해당하는 것은?,수증기,일산화탄소,아르곤,아세틸렌,3
15,이산화탄소의 질식 및 냉각 효과에 대한 설명 중 틀린 것 은?,이산화탄소의 증기비중이 산소보다 크기 때문에 가연물 과 산소의 접촉을 방해한다.,액체 이산화탄소가 기화되는 과정에서 열을 흡수한다.,이산화탄소는 불연성 가스로서 가연물의 연소반응을 방 해한다.,이산화탄소는 산소와 반응하며 이 과정에서 발생한 연소 열을 흡수하므로 냉각효과를 나타낸다.,4
16,분말 소화약제 분말입도의 소화성능에 관한 설명으로 옳은 것은?,미세할수록 소화성능이 우수하다.,입도가 클수록 소화성능이 우수하다.,입도와 소화성능과는 관련이 없다.,입도가 너무 미세하거나 너무 커도 소화성능은 저하된 다.,4
17,화재하중에 대한 설명 중 틀린 것은?,화재하중이 크면 단위면적당의 발열량이 크다.,화재하중이 크다는 것은 화재구획의 공간이 넓다는 것이 다.,화재하중이 같더라도 물질의 상태에 따라 가혹도는 달라 진다.,화재하중은 화재구획실내의 가연물 총량을 목재 중량당 비로 환산하여 면적으로 나눈 수치이다.,2
18,"분말 소화약제 중 A급, B급, C급 화재에 모두 사용할 수 있 는 것은? ① Na CO ② NH H PO",,,,,2
19,"증기비중의 정의로 옳은 것은? (단, 분자, 분모의 단위는 모 두 g/mol 이다.)",분자량 / 22.4,분자량 / 29,분자량 / 44.8,분자량 / 100,2
20,탄화칼슘의 화재 시 물을 주수하였을 때 발생하는 가스로 옳은 것은? ① C H ② H,,,,,1
21,다음 중 열역학 제1법칙에 관한 설명으로 옳은 것은?,열은 그 자신만으로 저온에서 고온으로 이동할 수 없다.,일은 열로 변환시킬 수 있고 열은 일로 변환시킬 수 있 다.,사이클 과정에서 열이 모두 일로 변화할 수 없다.,열평형 상태에 있는 물체의 온도는 같다.,2
22,"안지름 25mm, 길이 10m의 수평 파이프를 통해 비중 0.8, 점성계수는 5×10-3kg/m·s 인 기름을 유량 0.2×10-3 m3/s 로 수송하고자 할 때, 필요한 펌프의 최소 동력은 약 몇 W 인가?",0.21,0.58,0.77,0.81,1
23,수은의 비중이 13.6 일 때 수은의 비체적은 몇 m3/kg 인 가?,,,13.6,13.6 × 10-3,2
24,"그림과 같은 U자관 차압 액주계에서 A와 B에 있는 유체는 물이고 그 중간에 유체는 수은(비중 13.6)이다. 또한, 그림 에서 h =20cm, h =30cm, h =15cm 일 때 A의 압력(P )와",,,,,2
25,평균유속 2m/s 로 50L/s 유량의 물을 흐르게 하는데 필요 한 관의 안지름은 약 몇 mm 인가?,158,168,178,188,3
26,30℃에서 부피가 10L인 이상기체를 일정한 압력으로 0℃로 냉각시키면 부피는 약 몇 L로 변하는가?,3,9,12,18,2
27,이상적인 카르노사이클의 과정인 단열압축과 등온압축의 엔 트로피 변화에 관한 설명으로 옳은 것은?,"등온압축의 경우 엔트로피 변화는 없고, 단열압축의 경 우 엔트로피 변화는 감소한다.","등온압축의 경우 엔트로피 변화는 없고, 단열압축의 경 우 엔트로피 변화는 증가한다.","단열압축의 경우 엔트로피 변화는 없고, 등온압축의 경 우 엔트로피 변화는 감소한다.","단열압축의 경우 엔트로피 변화는 없고, 등온압축의 경 우 엔트로피 변화는 증가한다.",3
28,"그림에서 물 탱크차가 받는 추력은 약 몇 N 인가? (단, 노 즐의 단면적은 0.03m2 이며, 탱크 내의 계기압력은 40 kPa 이다. 또한 노즐에서 마찰 손실은 무시한다.)",812,1489,2709,5343,4
29,"비중이 0.877인 기름이 단면적이 변하는 원관을 흐르고 있 으며 체적유량은 0.146 m3/s 이다. A점에서는 안지름이 150mm, 압력이 91 kPa 이고, B점에서는 안지름이 450mm, 압력이 60.3 kPa 이다. 또한 B점은 A점보다 3.66m 높은 곳에 위치한다. 기름이 A점에서 B점까지 흐르 는 동안의 손실수두는 약 몇 m 인가? (단, 물의 비중량은 9810 N/m3 이다.)",3.3,7.2,10.7,14.1,1
30,"그림과 같이 피스톤의 지름이 각각 25cm와 5cm이다. 작은 피스톤을 화살표 방향으로 20cm 만큼 움직일 경우 큰 피스 톤이 움직이는 거리는 약 몇 mm 인가? (단, 누설은 없고, 비압축성이라고 가정한다.)",2,4,8,10,3
31,스프링클러 헤드의 방수압이 4배가 되면 방수량은 몇 배가 되는가?,√2배,2배,4배,8배,2
32,다음 중 표준대기압인 1기압에 가장 가까운 것은?,860 mmHg,10.33 mAq,101.325 bar,1.0332 kgf/m2,2
33,"안지름 10cm의 관로에서 마찰 손실 수두가 속도 수두와 같 다면 그 관로의 길이는 약 몇 m 인가? (단, 관마찰계수는 0.03 이다.)",1.58,2.54,3.33,4.52,3
34,"원심식 송풍기에서 회전수를 변화시킬 때 동력변화를 구하 는 식으로 옳은 것은? (단, 변화 전후의 회전수는 각각 N ,",,,,,3
35,"그림과 같은 1/4원형의 수문(水門) AB가 받는 수평성분 힘 (F )과 수직성분 힘(F )은 각각 약 몇 kN 인가? (단, 수문의 H V 반지름은 2m 이고, 폭은 3m 이다.)","F = 24.4, F = 46.2","F = 24.4, F = 92.4 H V H V","F = 58.8, F = 46.2","F = 58.8, F = 92.4 H V H V",4
36,"펌프 중심으로부터 2m 아래에 있는 물을 펌프 중심으로부 터 15m 위에 있는 송출수면으로 양수하려 한다. 관로의 전 손실수두가 6m 이고, 송출수량이 1m3/min 라면 필요한 펌 프의 동력은 약 몇 W 인가?",2777,3103,3430,3757,4
37,일반적인 배관 시스템에서 발생되는 손실을 주손실과 부차 적 손실로 구분할 때 다음 중 주손실에 속하는 것은?,직관에서 발생하는 마찰 손실,파이프 입구와 출구에서의 손실,단면의 확대 및 축소에 의한 손실,"배관부품(엘보, 리턴밴드, 티, 리듀서, 유니언, 밸브 등) 에서 발생하는 손실",1
38,"온도차이 20℃, 열전도율 5W/(m·K), 두께 20cm 인 벽을 통한 열유속(heat flux)과 온도차이 40℃, 열전도율 10W/(m·K), 두께 t인 같은 면적을 가진 벽을 통한 열유속이 같다면 두께 t는 약 몇 cm 인가?",10,20,40,80,4
39,낙구식 점도계는 어떤 법칙을 이론적 근거로 하는가?,Stokes의 법칙,열역학 제1법칙,Hagen-Poiseuille의 법칙,Boyle의 법칙,1
