번호,문제,보기1,보기2,보기3,보기4,정답
1,내화건축물과 비교한 목조건축물 화재의 일반적인 특징을 옳 게 나타낸 것은?,"고온, 단시간형","저온, 단시간형","고온, 장시간형","저온, 장시간형",1
2,유체 A와 B가 반반씩 위아래로 채워져 있을 때 평판을 같 은 속도로 움직이기 위한 단위면적당 힘에 대한 표현으로 옳은 것은? ① τ +τ /2 ②,,,,,2
3,화재발생 시 피난기구로 직접 활용할 수 없는 것은?,완강기,무선통신보조설비,피난사다리,구조대,2
4,정전기에 의한 발화과정으로 옳은 것은?,방전 → 전하의 축적 → 전하의 발생 → 발화,전하의 발생 → 전하의 축적 → 방전 → 발화,전하의 발생 → 방전 → 전하의 축적 → 발화,전하의 축적 → 방전 → 전하의 발생 → 발화,2
5,물리적 소화방법이 아닌 것은?,산소공급원 차단,연쇄반응 차단,온도 냉각,가연물제거,2
6,탄화칼슘이 물과 반응할 때 발생되는 기체는?,일산화탄소,아세틸렌,황화수소,수소,2
7,"분말소화약제 중 A급, B급, C급 화재에 모두 사용할 수 있는 것은?",제1종 분말,제2종 분말,제3종 분말,제4종 분말,3
8,조연성 가스에 해당하는 것은?,수소,일산화탄소,산소,에탄,3
9,"분자내부에 니트로기를 갖고 있는 TNT, 니트로셀룰로오스 등 과 같은 제5류 위험물의 연소 형태는?",분해연소,자기연소,증발연소,표면연소,2
10,가연물질의 종류에 따라 화재를 분류하였을 때 섬유류 화재 가 속하는 것은?,A급 화재,B급 화재,C급 화재,D급 화재,1
11,"위험물안전관리법령상 제6류 위험물을 수납하는 운반용기의 외부에 주의사항을 표시하여야 할 경우, 어떤 내용을 표시 하여야 하는가?",물기엄금,화기엄금,화기주의/충격주의,가연물 접촉주의,4
12,다음 연소 생성물 중 인체에 독성이 가장 높은 것은?,이산화탄소,일산화탄소,수증기,포스겐,4
13,알킬알루미늄 화재에 적합한 소화약제는?,물,이산화탄소,팽창질석,할로겐화합물,3
14,열전도도(thermal conductivity)를 표시하는단위에 해당하는 것은?,J/m2・h,kcal/h・℃2,W/m・K,J・K/m3,3
15,위험물안전관리법령상 위험물에 대한설명으로 옳은 것은?,과염소산은 위험물이 아니다.,황린은 제2류 위험물이다.,황화린의 지정수량은 100 kg이다.,산화성고체는 제6류 위험물의 성질이다.,3
16,제3종 분말소화약제의 주성분은?,인산암모늄,탄산수소칼륨,탄산수소나트륨,탄산수소칼륨과 요소,1
17,이산화탄소 소화기의 일반적인 성질에서 단점이 아닌 것은?,밀폐된 공간에서 사용 시 질식의 위험성이 있다.,인체에 직접 방출 시 동상의 위험성이 있다.,소화약제의 방사 시 소음이 크다.,전기가 잘 통하기 때문에 전기설비에 사용할 수 없다.,4
18,"IG-541 이 15℃에서 내용적 50리터 압력용기에 155kgf/cm2으로 충전되어 있다. 온도가 30℃가 되었다면 IG-541 압력은 약 몇 kgf/cm2가 되겠는가? (단, 용기의 팽 창은 없다고 가정한다.)",78,155,163,310,3
19,소화약제 중 HFC-125의 화학식으로 옳은 것은? ① CHF CF ② CHF,,,,,1
20,"프로판 50vol%, 부탄 40vol%, 프로필렌 10vol%로 된 혼합 가스의 폭발하한계는 약 몇 vol% 인가? (단, 각 가스의 폭 발하한계는 프로판은 2.2vol%, 부탄은 1.9vol%, 프로필렌은 2.4vol%이다.)",0.83,2.09,5.05,9.44 2과목 : 소방유체역학,2
21,직경 20cm의 소화용 호스에 물이 392 N/s 흐른다. 이 때의 평균유속(m/s)은?,2.96,4.34,3.68,1.27,4
22,"수은이 채워진 U자관에 수은보다 비중이 작은 어떤 액체를 넣었다. 액체기둥의 높이가 10cm, 수은과 액체의 자유 표면 의 높이 차이가 6cm일 때 이 액체의 비중은? (단, 수은의 비중은 13.6 이다.)",5.44,8.16,9.63,10.88,1
23,수압기에서 피스톤의 반지름이 각각 20cm와 10cm이다. 작 은 피스톤에 19.6N의 힘을 가하는 경우 평형을 이루기 위해 큰 피스톤에는 몇 N의 하중을 가하여야 하는가?,4.9,9.8,68.4,78.4,4
24,"그림과 같이 중앙부분에 구멍이 뚫린 원판에 지름 D의 원형 물제트가 대기압 상태에서 V의 속도로 충돌하여 원판 뒤로 지름 D/2의 원형 물제트가 V의 속도로 홀러나가고 있을 때, 이 원판이 받는 힘을 구하는 계산식으로 옳은 것은? (단, ρ 는 물의 밀도이다.)",,,,3ρπV2D2,1
25,"압력 0.1MPa, 온도 250℃ 상태인 물의 엔탈피가 2974.33 kJ/kg이고 비체적은 2.40604m3/kg이다. 이 상태에서 물의 내부에너지(kJ/kg)는 얼마인가?",2733.7,2974.1,3214.9,3582.7,1
26,300 K의 저온 열원을 가지고 카르노 사이클로 작동하는 열 기관의 효율이 70%가 되기 위해서 필요한 고온 열원의 온 도(K)는?,800,900,1000,1100,3
27,"물이 들어 있는 탱크에 수면으로부터 20m 깊이에 지름 50mm 의 오리피스가 있다. 이 오리피스에서 흘러나오는 유 량(m3/min)은?(단, 탱크의 수면 높이는 일정하고 모든 손실 은 무시한다.)",1.3,2.3,3.3,4.3,2
28,다음 중 열전달 매질이 없이도 열이 전달되는 형태는?,전도,자연대류,복사,강제대류,3
29,"양정 220m, 유량 0.025m3/s, 회전수 2900rpm인 4단 원심 펌프의 비교회전도 (비속도)[m3/min, m, rpm]는 얼마인가?",176,167,45,23,1
30,"동력(power)의 차원을 MLT(질량 M, 길이 L, 시간 T)계로 바르게 나타낸 것은?",MLT-1,M2LT-2,ML2T-3,MLT-2,3
31,"직사각형 단면의 덕트에서 가로와 세로가 각각 a 및 1.5a이 고, 길이가 L이며, 이 안에서 공기가 V의 평균속도로 흐르 고 있다. 이 때 손실수두를 구하는 식으로 옳은 것은? (단, f는 이 수력지름에 기초한 마찰계수이고, g는 중력가속도를 의미한다.)",,,,,1
32,무차원수 중 레이놀즈수(Reynolds number)의 물리적인 의 미는?,관성력/중력,관성력/탄성력,관성력/점성력,관성력/음속,3
33,동일한 노즐구경을 갖는 소방차에서 방수압력이 1.5배가 되 면 방수량은 몇 배로되는가?,1.22 배,1.41 배,1.52 배,2.25 배,1
34,"전양정 80m, 토출량 500 L/min인 물을 사용하는 소화펌프 가 있다. 펌프효율 65%, 전달계수(K) 1.1인 경우 필요한 전 동기의 최소동력(kW)은?",9,11,13,15,2
35,"안지름 10cm인 수평 원관의 층류유동으로 4km 떨어진 곳 에 원유(점성계수 0.02 N・s/m2, 비중 0.86)를 0.10 m3/min의 유량으로 수송하려 할 때 펌프에 필요한 동력(W) 은? (단, 펌프의 효율은 100%로 가정한다.)",76,91,10900,9100,2
36,유속 6m/s로 정상류의 물이 화살표 방향으로 흐르는 배관 에 압력계와 피토계가 설치되어있다. 이때 압력계의 계기압 력이 300 kPa이었다면 피토계의 계기압력은 약 몇 kPa인 가?,180,280,318,336,3
37,유체의 압축률에 관한 설명으로 올바른 것은?,압축률 = 밀도 × 체적탄성계수,압축률 = 1/체적탄성계수,압축률 = 밀도/체적탄성계수,압축률 = 체적탄성계수/밀도,2
38,"질량이 5㎏인 공기(이상기체)가 온도 333K로 일정하게 유지 되면서 체적이 10배가 되었다. 이 계(system)가 한 일(kJ) 은? (단, 공기의 기체상수는 287J/kg·K이다.)",220,478,1100,4779,3
39,무한한 두 평판 사이에 유체가 채워져 있고 한 평판은 정지 해 있고 또 다른 평판은 일정한 속도로 움직이는 Couette 유동을 하고 있다. 유체 A만 채워져 있을 때 평판을 움직이 기 위한 단위면적당 힘을 τ 이라 하고 같은 평판 사이에 점,,,,,3
40,"2m 깊이로 물이 차있는 물 탱크 바닥에 한 변이 20cm인 정사각형 모양의 관측창이 설치되어 있다. 관측창이 물로 인하여 받는 순 힘(net force)은 몇 N인가? (단, 관측창 밖 의 압력은 대기압이다.)",784,392,196,98 3과목 : 소방관계법규,1
41,소방기본법의 정의상 소방대상물의 관계인이 아닌 자는?,감리자,관리자,점유자,소유자,1
42,소방기본법령상 화재의 예방상 위험하다고 인정되는 행위를 하는 사람에게 행위의 금지 또는 제한 명령을 할 수 있는 사람은?,소방본부장,시·도지사,의용소방대원,소방대상물의 관리자,1
