번호,문제,보기1,보기2,보기3,보기4,정답
1,목조건축물의 화재특성으로 틀린 것은?,습도가 낮을수록 연소 확대가 빠르다.,화재진행속도는 내화건축물보다 빠르다.,화재최성기의 온도는 내화건축물보다 낮다.,화재성장속도는 횡방향보다 종방향이 빠르다.,3
2,물이 소화 약제로써 사용되는 장점이 아닌 것은?,가격이 저렴하다.,많은 양을 구할 수 있다.,증발잠열이 크다.,가연물과 화학반응이 일어나지 않는다.,4
3,정전기로 인한 화재를 줄이고 방지하기 위한 대책 중 틀린 것은?,공기 중 습도를 일정 값 이상으로 유지한다.,기기의 전기 절연성을 높이기 위하여 부도체로 차단공사 를 한다.,공기 이온화 장치를 설치하여 가동시킨다.,정전기 축적을 막기 위해 접지선을 이용하여 대지로 연결 작업을 한다.,2
4,프로판가스의 최소점화에너지는 일반적으로 약 몇 mJ 정도 되는가?,0.25,2.5,25,250,1
5,목재 화재 시 다량의 물을 뿌려 소화할 경우 기대되는 주된 소화효과는?,제거효과,냉각효과,부촉매효과,희석효과,2
6,물질의 연소 시 산소공급원이 될 수 없는 것은?,탄화칼슘,과산화나트륨,질산나트륨,압축공기,1
7,다음 물질 중 공기 중에서의 연소범위가 가장 넓은 것은?,부탄,프로판,메탄,수소,4
8,이산화탄소 20g은 약 몇 mol인가?,0.23,0.45,2.2,4.4,2
9,플래시 오버(flash over)에 대한 설명으로 옳은 것은?,도시가스의 폭발적 연소를 말한다.,휘발유 등 가연성 액체가 넓게 흘러서 발화한 상태를 말 한다.,옥내화재가 서서히 진행하여 열 및 가연성 기체가 축적되 었다가 일시에 연소하여 화염이 크게 발생하는 상태를 말 한다.,화재층의 불이 상부층으로 올라가는 현상을 말한다.,3
10,제4류 위험물의 성질로 옳은 것은?,가연성 고체,산화성 고체,인화성 액체,자기반응성물질,3
11,할론 소화설비에서 Halon 1211 약제의 분자식은? ① CBr ClF ② CF BrCl,,,,,2
12,다음 중 가연물의 제거를 통한 소화 방법과 무관한 것은?,산불의 확산방지를 위하여 산림의 일부를 벌채한다.,화학반응기의 화재 시 원료 공급관의 밸브를 잠근다.,전기실 화재 시 IG-541 약제를 방출한다.,유류탱크 화재 시 주변에 있는 유류탱크의 유류를 다른 곳으로 이동시킨다.,3
13,건물화재의 표준시간-온도곡선에서 화재발생 후 1시간이 경 과할 경우 내부 온도는 약 몇 ℃ 정도 되는가?,125,325,640,925,4
14,위험물안전관리법령상 위험물로 분류되는 것은?,과산화수소,압축산소,프로판가스,포스겐,1
15,"연기에 의한 감광계수가 0.1m-1, 가시거리가 20~30m일 때 의 상황으로 옳은 것은?",건물 내부에 익숙한 사람이 피난에 지장을 느낄 정도,연기감지기가 작동할 정도,어두운 것을 느낄 정도,앞이 거의 보이지 않을 정도,2
16,물질의 취급 또는 위험성에 대한 설명 중 틀린 것은?,융해열은 점화원이다.,질산은 물과 반응 시 발열 반응하므로 주의를 해야 한 다.,"네온, 이산화탄소, 질소는 불연성 물질로 취급한다.",암모니아를 충전하는 공업용 용기의 색상은 백색이다.,1
17,Fourier법칙(전도)에 대한 설명으로 틀린 것은?,이동열량은 전열체의 단면적에 비례한다.,이동열량은 전열체의 두께에 비례한다.,이동열량은 전열체의 열전도도에 비례한다.,이동열량은 전열체 내·외부의 온도차에 비례한다.,2
18,자연발화가 일어나기 쉬운 조건이 아닌 것은?,열전도율이 클 것,적당량의 수분이 존재할 것,주위의 온도가 높을 것,표면적이 넓을 것,1
19,분말소화약제 중 탄산수소칼륨(KHCO )과 요소(CO(NH ) )와,,,,,4
20,폭굉(detonation)에 관한 설명으로 틀린 것은?,연소속도가 음속보다 느릴 때 나타난다.,온도의 상승은 충격파의 압력에 기인한다.,압력상승은 폭연의 경우보다 크다.,폭굉의 유도거리는 배관의 지름과 관계가 있다. 2과목 : 소방유체역학,1
21,"2MPa, 400℃의 과열 증기를 단면확대 노즐을 통하여 20kPa 로 분출시킬 경우 최대 속도는 약 몇 m/s 인가? (단, 노즐입구에서 엔탈피는 3243.3kJ/㎏이고, 출구에서 엔 탈피는 2345.8kJ/㎏이며, 입구속도는 무시한다.)",1340,1349,1402,1412,1
22,"원형 물탱크의 안지름이 1m이고, 아래쪽 옆면에 안지름 100mm인 송출관을 통해 물을 수송할 때의 순간 유속이 3m/s 이었다. 이 때 탱크 내 수면이 내려오는 속도는 몇 m/s 인가?",0.015,0.02,0.025,0.03,4
23,지름 5㎝인 구가 대류에 의해 열을 외부공기로 방출한다. 이 구는 50W의 전기히터에 의해 내부에서 가열되고 있고 구 표면과 공기 사이의 온도차가 30℃라면 공기와 구 사이 의 대류 열전달계수는 약 몇 W/m2·℃ 인가?,111,212,313,414,2
24,"소화펌프의 회전수가 1450 rpm일 때 양정이 25m, 유량이 5m3/min이었다. 펌프의 회전수를 1740 rpm으로 높일 경우 양정(m)과 유량(m3/min)은? (단, 완전상사가 유지되고, 회전 차의 지름은 일정하다.)","양정 : 17, 유량 : 4.2","양정 : 21, 유량 : 5","양정 : 30.2, 유량 : 5.2","양정 : 36, 유량 : 6",4
25,다음 중 이상기체에서 폴리트로픽 지수(n)가 1인 과정은?,단열 과정,정압 과정,등온 과정,정적 과정,3
26,"정수력에 의해 수직평판의 힌지(hinge)점에 작용하는 단위 폭 당 모멘트를 바르게 표시한 것은? (단, ρ는 유체의 밀도, g는 중력가속도이다.)",,,,,1
27,"그림과 같은 중앙부분에 구멍이 뚫린 원판에 지름 20㎝의 원형 물제트가 대기압 상태에서 5m/s의 속도로 충돌하여, 원판 뒤로 지름 10㎝의 원형 물제트가 5m/s의 속도로 흘러 나가고 있을 때, 원판을 고정하기 위한 힘은 약 몇 N인가?",589,673,770,893,1
28,펌프의 공동현상(cavitation)을 방지하기 위한 방법이 아닌 것은?,펌프의 설치 위치를 되도록 낮게 하여 흡입양정을 짧게 한다.,펌프의 회전수를 크게 한다.,펌프의 흡입 관경을 크게 한다.,단흡입펌프보다는 양흡입펌프를 사용한다.,2
29,"물을 송출하는 펌프의 소요축동력이 70㎾, 펌프의 효율이 78%, 전양정이 60m일 때, 펌프의 송출유량은 약 몇 m3/min 인가?",5.57,2.57,1.09,0.093,1
30,"그림에 표시된 원형 관로로 비중이 0.8, 점성계수가 0.4 Pa·s인 기름이 층류로 흐른다.","지점의 압력이 111.8kPa이 고,",지점의 압력이 206.9kPa일 때 유체의 유량은 약 몇 L/s인가?,0.0149,0.0138,4
31,"다음 중 점성계수 μ의 차원은 어느 것인가? (단, M : 질량, L : 길이, T : 시간의 차원이다.)",ML-1T-1,ML-1T-2,ML-2T-1,M-1L-1T,1
32,"20℃의 이산화탄소 소화약제가 체적 4m3의 용기 속에 들어 있다. 용기 내 압력이 1MPa일 때 이산화탄소 소화약제의 질량은 약 몇 ㎏인가? (단, 이산화탄소의 기체상수는 189J/ ㎏·K 이다.)",0.069,0.072,68.9,72.2,4
33,압축률에 대한 설명으로 틀린 것은?,압축률은 체적탄성계수의 역수이다.,압축률의 단위는 압력의 단위인 Pa 이다.,밀도와 압축률의 곱은 압력에 대한 밀도의 변화율과 같 다.,압축률이 크다는 것은 같은 압력변화를 가할 때 압축하 기 쉽다는 것을 의미한다.,2
34,"밸브가 장치된 지름 10㎝인 원관에 비중 0.8인 유체가 2m/s의 평균속도로 흐르고 있다. 밸브 전후의 압력 차이가 4kPa일 때, 이 밸브의 등가길이는 몇 m 인가? (단, 관의 마 찰계수는 0.02이다.)",10.5,12.5,14.5,16.5,2
35,"그림과 같이 물이 수조에 연결된 원형 파이프를 통해 분출 하고 있다. 수면과 파이프의 출구 사이에 총 손실수두가 200mm이라고 할 때 파이프에서의 방출유량은 약 몇 m3/s 인가? (단, 수면 높이의 변화 속도는 무시한다.)",0.285,0.295,0.305,0.315,3
36,유체의 흐름에 적용되는 다음과 같은 베르누이 방정식에 관 한 설명으로 옳은 것은?,비정상상태의 흐름에 대해 적용된다.,동일한 유선상이 아니더라도 흐름 유체의 임의점에 대해 항상 적용된다.,흐름 유체의 마찰효과가 충분히 고려된다.,"압력수두, 속도수두, 위치수두의 합이 일정함을 표시한 다.",4
37,유체의 흐름 중 난류 흐름에 대한 설명으로 틀린 것은?,원관 내부 유동에서는 레이놀즈수가 약 4000 이상인 경 우에 해당한다.,유체의 각 입자가 불규칙한 경로를 따라 움직인다.,유체의 입자가 갖는 관성력이 입자에 작용하는 점성력에 비하여 매우 크다.,원관 내 완전 발달 유동에서는 평균속도가 최대속도의 1/2 이다.,4
38,"어떤 물체가 공기 중에서 무게는 588N이고, 수중에서 무게 는 98N이었다. 이 물체의 체적(V)과 비중(S)은?","V = 0.05m3, S = 1.2","V = 0.05m3, S = 1.5","V = 0.5m3, S = 1.2","V = 0.5m3, S = 1.5",1
39,유체에 관한 설명 중 옳은 것은?,실제유체는 유동할 때 마찰손실이 생기지 않는다.,이상유체는 높은 압력에서 밀도가 변화하는 유체이다.,유체에 압력을 가하면 체적이 줄어드는 유체는 압축성 유체이다.,압력을 가해도 밀도변화가 없으며 점성에 의한 마찰손실 만 있는 유체가 이상유체이다.,3
