번호,문제,보기1,보기2,보기3,보기4,정답
1,액화석유가스(LPG)에 대한 성질로 틀린 것은?,"주성분은 프로탄, 부탄이다.",천연고무를 잘 녹인다.,물에 녹지 않으나 유기용매에 용해된다.,공기보다 1.5배 가볍다.,4
2,3 3,,,,,2
3,"건축물에 설치하는 방화구획의 설치기준 중 스프링클러설비 를 설치한 11층 이상의 층은 바닥면적 몇 m2 이내마다 방화 구획을 하여야 하는가? (단, 벽 및 반자의 실내에 접하는 부 분의 마감은 불연재료가 아닌 경우이다.)",200,600,1000,3000,2
4,2 4 3 ③ Na CO ④ KHCO,,,,,4
5,소화방법 중 제거소화에 해당되지 않는 것은?,산불이 발생하면 화재의 진행방향을 앞질러 벌목,방안에서 화재가 발생하면 이불이나 담요로 덮음,가스 화재 시 밸브를 잠궈 가스흐름을 차단,불타고 있는 장작더미 속에서 아직 타지 않은 것을 안전 한 곳으로 운반,2
6,포소화약제의 적응성이 있는 것은?,칼륨 화재,알킬리튬 화재,가솔린 화재,인화알루미늄 화재,3
7,제2류 위험물에 해당하는 것은?,유황,질산칼륨,칼륨,톨루엔,1
8,주수소화 시 가연물에 따라 발생하는 가연성 가스의 연결이 틀린 것은?,탄화칼슘 - 아세틸렌,탄화알루미늄 – 프로판,인화칼슘 – 포스핀,수소화리튬 - 수소,2
9,물리적 폭발에 해당하는 것은?,분해 폭발,분진 폭발,증기운 폭발,수증기 폭발,4
10,위험물안전관리법령상 지정된 동식물유류의 성질에 대한 설 명으로 틀린 것은?,요오드가가 작을수록 자연발화의 위험성이 크다.,상온에서 모두 액체이다.,물에 불용성이지만 에테르 및 벤젠 등의 유기용매에는 잘 녹는다.,인화점은 1기압하에서 250℃ 미만이다.,1
11,피난계획의 일반원칙 Fool Proof 원칙에 대한 설명으로 옳 은 것은?,1가지가 고장이 나도 다른 수단을 이용하는 원칙,2방향의 피난동선을 항상 확보하는 원칙,피난수단을 이동식 시설로 하는 원칙,피난수단을 조작이 간편한 원시적 방법으로 하는 원칙,4
12,인화점이 낮은 것부터 높은 순서로 옳게 나열된 것은?,에틸알코올 ＜ 이황화탄소 ＜ 아세톤,이황화탄소 ＜ 에틸알코올 ＜ 아세톤,에틸알코올 ＜ 아세톤 ＜ 이황화탄소,이황화탄소 ＜ 아세톤 ＜ 에틸알코올,4
13,화재발생 시 발생하는 연기에 대한 설명으로 틀린 것은?,연기의 유동속도는 수평방향이 수직방향보다 빠르다.,동일한 가연물에 있어 환기지배형 화재가 연료지배형 화 재에 비하여 연기발생량이 많다.,고온상태의 연기는 유동확산이 빨라 화재전파의 원인이 되기도 한다.,"연기는 일반적으로 불완전 연소시에 발생한 고체, 액체, 기체 생성물의 집합체이다.",1
14,물과 반응하여 가연성 기체를 발생하지 않는 것은?,칼륨,인화아연,산화칼슘,탄화알루미늄,3
15,건축물의 화재발생 시 인간의 피난 특성으로 틀린 것은?,평상 시 사용하는 출입구나 통로를 사용하는 경향이 있 다.,화재의 공포감으로 인하여 빛을 피해 어두운 곳으로 몸 을 숨기는 경향이 있다.,"화염, 연기에 대한 공포감으로 발화지점의 반대방향으로 이동하는 경향이 있다.",화재 시 최초로 행동을 개시한 사람을 따라 전체가 움직 이는 경향이 있다.,2
16,물체의 표면온도가 250℃에서 650℃로 상승하면 열 복사량 은 약 몇 배 정도 상승하는 가?,2.5,5.7,7.5,9.7,4
17,조연성 가스에 해당하는 것은?,일산화탄소,산소,수소,부탄,2
18,자연발화 방지대책에 대한 설명 중 틀린 것은?,저장실의 온도를 낮게 유지한다.,저장실의 환기를 원활히 시킨다.,촉매물질과의 접촉을 피한다.,저장실의 습도를 높게 유지한다.,4
19,분말소화약제로서 ABC급 화재에 적응성이 있는 소화약제의 종류는? ① NH H PO ② NaHCO,,,,,1
20,과산화칼륨이 물과 접촉하였을 때 발생하는 것은?,산소,수소,메탄,아세틸렌 2과목 : 소방유체역학,1
21,효율이 50%인 펌프를 이용하여 저수지의 물을 1초에 10L씩 30m 위 쪽에 있는 논으로 퍼 올리는데 필요한 동력은 약 몇 kW 인가?,18.83,10.48,2.94,5.88,4
22,펌프가 실제 유동시스템에 사용될 때 펌프의 운전점은 어떻 게 결정하는 것이 좋은가?,시스템 곡선과 펌프 성능곡선의 교점에서 운전한다.,시스템 곡선과 펌프 효율곡선의 교점에서 운전한다.,펌프 성능곡선과 펌프 효율곡선의 교점에서 운전한다.,"펌프 효율곡선의 최고점, 즉 최고 효율점에서 운전한다.",1
23,비중이 1.03인 바닷물에 비중 0.9인 빙산이 떠있다. 전체 부피의 몇 %가 해수면 위로 올라와 있는가?,12.6,10.8,7.2,6.3,1
24,"그림과 같이 중앙부분에 구멍이 뚫린 원판에 지름 D의 원형 물제트가 대기압 상태에서 V의 속도로 충돌하여, 원판 뒤로 지름 D/2의 원형 물제트가 V의 속도로 흘러나가고 있을 때, 이 원판이 받는 힘은 얼마인가? (단, ρ는 물의 밀도이다.)",,,,,1
25,"저장용기로부터 20℃의 물을 길이 300m, 지름 900mm인 콘크리트 수평 원관을 통하여 공급하고 있다. 유량이 1m3/s 일 때 원관에서의 압력강하는 약 몇 kPa인가? (단, 관마찰 계수는 약 0.023이다.)",3.57,9.47,14.3,18.8,2
26,"물탱크에 담긴 물의 수면의 높이가 10m인데, 물탱크 바닥 에 원형 구멍이 생겨서 10L/s 만큼 물이 유출되고 있다. 원 형 구멍의 지름은 약 몇 cm인가? (단, 구멍의 유량보정계수 는 0.6이다.)",2.7,3.1,3.5,3.9,4
27,"20℃ 물 100L를 화재현장의 화염에 살수하였다. 물이 모두 끊는 온도(100℃)까지 가열되는 동안 흡수하는 열량은 약 몇 kJ인가? (단, 물의 비열은 4.2kJ/(kg·K)이다.)",500,2000,8000,33600,4
28,"아래 그림과 같은 반지름이 1m이고, 폭이 3m인 곡면의 수 문 AB가 받는 수평분력은 약몇 N인가?",7350,14700,23900,29400,2
29,"초기온도와 압력이 각각 50℃, 600kPa인 이상기체를 100kPa까지 가역 단열팽창시켰을 때 온도는 약 몇 K인가? (단, 이 기체의 비열비는 1.4이다.)",194,216,248,262,1
30,"100cm ×100cm이고, 300℃로 가열된 평판에 25℃의 공기 를 불어준다고 할 때 열전달량은 약 몇 kW인가? (단, 대류 열전달 계수는 30W/(m2·K)이다.)",2.98,5.34,8.25,10.91,3
31,"호주에서 무게가 20N인 어떤 물체를 한국에서 재어보니 19.8N이었다면 한국에서의 중력가속도는 약 몇 m/s2인가? (단, 호주에서의 중력가속도는 9.82m/s2이다.)",9.72,9.75,9.78,9.82,1
32,비압축성 유체를 설명한 것으로 가장 옳은 것은?,체적탄성계수가 0인 유체를 말한다.,관로 내에 흐르는 유체를 말한다.,점성을 갖고 있는 유체를 말한다.,난류 유동을 하는 유체를 말한다.,1
33,지름 20cm의 소화용 호스에 물이 질량유량 80kg/s로 흐른 다. 이때 평균유속은 약 몇 m/s인가?,0.58,2.55,5.97,25.48,2
34,"깊이 1m까지 물을 넣은 물탱크의 밑에 오리피스가 있다. 수 면에 대기압이 작용할 때의 초기 오리피스에서의 유속 대비 2배 유속으로 물을 유출시키려면 수면에는 몇 kPa의 압력을 더 가하면 되는가? (단, 손실은 무시한다.)",9.8,19.6,29.4,39.2,3
35,"그림과 같은 거꾸로 된 마노미터에서 물과 기름, 수은이 채 워져 있다. a=10cm, c=25cm이고 A의 압력이 B의 압력보 다 80kPa작을 때 b의 길이는 약 몇 cm인가? (단, 수은의 비중량은 133100N/m3, 기름의 비중은 0.9이다.)",17.8,27.8,37.8,47.8,2
36,"공기를 체적비율이 산소(O , 분자량 32g/mol) 20%, 질소",,,,,2
37,"물이 소방노즐을 통해 대기로 방출될 때 유속이 24m/s가 되도록 하기 위해서는 노즐입구의 압력은 몇 kPa가 되어야 하는가? (단, 압력은 계기 압력으로 표시되며 마찰손실 및 노즐입구에서의 속도는 무시한다.)",153,203,288,312,3
38,무한한 두 평판 사이에 유체가 채워져 있고 한 평판은 정지 해 있고 또 다른 평판은 일정한 속도로 움직이는 Couette 유동을 하고 있다. 유체 A만 채워져 있을 때 평판을 움직이 기 위한 단위면적당 힘을 r 이라 하고 같은 평판 사이에 점,,,,,3
39,"동점성계수가 1.15×10-6m2/s인 물이 30mm의 지름 원관 속을 흐르고 있다. 층류가 기대될 수 있는 최대 유량은 약 몇 m3/s인가? (단, 임계 레이놀즈 수는 2100이다.)",2.85×10-5,5.69×10-5,2.85×10-7,5.69×10-7,2
40,다음과 같은 유동형태를 갖는 파이프 입구 영역의 유동에서 부차적 손실계수가 가장 큰 것은?,날카로운 모서리,약간 둥근 모서리,잘 다듬어진 모서리,돌출 입구 3과목 : 소방관계법규,4
41,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 비상경보설비를 설치하여야 할 특정소방대상물의 기준 중 옳은 것은?(단, 지하구, 모래ㆍ석재 등 불연재료 창고 및 위 험물 저장ㆍ처리 시설 중 가스시설은 제외한다.)",지하층 또는 무창층의 바닥면적이 50m2 상인 것,연면적 400m2 이상인 것,지하가 중 터널로서 길이가 300m 이상인 것,30명 이상의 근로자가 작업하는 옥내 작업장,2
