번호,문제,보기1,보기2,보기3,보기4,정답
1,"0℃, 1기압에서 44.8m3의 용적을 가진 이산화탄소를 액화하 여 얻을 수 있는 액화탄산 가스의 무게는 약 몇 kg인가?",88,44,22,11,1
2,제거소화의 예에 해당하지 않는 것은?,밀폐 공간에서의 화재 시 공기를 제거한다.,가연성가스 화재 시 가스의 밸브를 닫는다.,산림화재 시 확산을 막기 위하여 산림의 일부를 벌목한 다.,유류탱크 화재 시 연소되지 않은 기름을 다른 탱크로 이 동시킨다.,1
3,다음 중 소화에 필요한 이산화탄소 소화약제의 최소설계농도 값이 가장 높은 물질은?,메 탄,에틸렌,천연가스,아세틸렌,4
4,2 4 소화약제인가?,제1종,제2종,제3종,제4종,3
5,다음 물질의 저장창고에서 화재가 발생하였을 때 주수 소화 를 할 수 없는 물질은?,부틸리튬,질산에틸,나이트로셀룰로스,적 린,1
6,이산화탄소에 대한 설명으로 틀린 것은?,임계온도는 97.5℃이다.,고체의 형태로 존재할 수 있다.,불연성가스로 공기보다 무겁다.,드라이아이스와 분자식이 동일하다.,1
7,실내 화재 시 발생한 연기로 인한 감광계수(m-1)와 가시거리 에 대한 설명 중 틀린 것은?,감광계수가 0.1일 때 가시거리는 20~30m이다.,감광계수가 0.3일 때 가시거리는 15~20m이다.,감광계수가 1.0일 때 가시거리는 1~2m이다.,감광계수가 10일 때 가시거리는 0.2~0.5m이다.,2
8,물질의 화재 위험성에 대한 설명으로 틀린 것은?,인화점 및 착화점이 낮을수록 위험,착화에너지가 작을수록 위험,비점 및 융점이 높을수록 위험,연소범위가 넓을수록 위험,3
9,"이산화탄소의 증기비중은 약 얼마인가? (단, 공기의 분자량은 29이다)",0.81,1.52,2.02,2.51,2
10,위험물안전관리법령상 제2석유류에 해당하는 것으로만 나열 된 것은?,"아세톤, 벤젠","중유, 아닐린","에테르, 이황화탄소","아세트산, 아크릴산",4
11,다음 중 연소범위를 근거로 계산한 위험도 값이 가장 큰 물 질은?,이황화탄소,메 탄,수 소,일산화탄소,1
12,가연물이 연소가 잘 되기 위한 구비조건으로 틀린 것은?,열전도율이 클 것,산소와 화학적으로 친화력이 클 것,표면적이 클 것,활성화 에너지가 작을 것,1
13,유류탱크 화재 시 기름 표면에 물을 살수하면 기름이 탱크 밖으로 비산하여 화재가 확대되는 현상은?,슬롭 오버(Slop Over),플래시 오버(Flash Over),프로스 오버(Froth Over),블레비(BLEVE),1
14,화재 시 나타나는 인간의 피난특성으로 볼 수 없는 것은?,어두운 곳으로 대피한다.,최초로 행동한 사람을 따른다.,발화지점의 반대방향으로 이동한다.,"평소에 사용하던 문, 통로를 사용한다.",1
15,"종이, 나무, 섬유류 등에 의한 화재에 해당하는 것은?",A급 화재,B급 화재,C급 화재,D급 화재,1
16,NH H PO 를 주성분으로 한 분말소화약제는 제 몇 종 분말,,,,,3
17,다음 물질 중 연소하였을 때 시안화수소를 가장 많이 발생 시키는 물질은?,Polyethylene,Polyurethane,Polyvinyl Chloride,Polystyrene,2
18,산소의 농도를 낮추어 소화하는 방법은?,냉각소화,질식소화,제거소화,억제소화,2
19,다음 중 상온 상압에서 액체인 것은?,탄산가스,할론 1301,할론 2402,할론 1211,3
20,밀폐된 내화건물의 실내에 화재가 발생했을 때 그 실내의 환경변화에 대한 설명 중 틀린 것은?,기압이 급강하한다.,산소가 감소한다.,일산화탄소가 증가한다.,이산화탄소가 증가한다. 2과목 : 소방유체역학,1
21,비중이 0.8인 액체가 한 변이 10cm인 정육면체 모양 그릇 의 반을 채울 때 액체의 질량(kg)은?,0.4,0.8,400,800,1
22,"펌프의 입구에서 진공계의 계기압력은 –160mmHg, 출구에 서 압력계의 계기압력은 300kPa, 송출 유량은 10m3/min일 때 펌프의 수동력(kW)은? (단, 진공계와 압력계 사이의 수 직거리는 2m이고, 흡입관과 송출관의 직경은 같으며, 손실 은 무시한다)",5.7,56.8,557,"3,400",2
23,"다음 (ㄱ), (ㄴ)에 알맞은 것은?","(ㄱ) 운동, (ㄴ) 서징","(ㄱ) 운동, (ㄴ) 수격작용","(ㄱ) 위치, (ㄴ) 서징","(ㄱ) 위치, (ㄴ) 수격작용",2
24,과열증기의 대한 설명으로 틀린 것은?,과열증기의 압력은 해당온도에서의 포화압력보다 높다.,과열증기의 온도는 해당압력에서의 포화온도보다 높다.,과열증기의 비체적은 해당온도에서의 포화증기의 비체적 보다 크다.,과열증기의 엔탈피는 해당압력에서의 포화증기의 엔탈피 보다 크다.,1
25,"비중이 0.85이고 동점성계수가 3×10-4m2/s인 기름이 직경 10cm의 수평 원형 관 내에 20L/s으로 흐른다. 이 원형 관 의 100m 길이에서의 수두손실(m)은? (단, 정상 비압축성 유동이다)",16.6,25.0,49.8,82.2,2
26,그림과 같이 수족관에 직경 3m의 투시경이 설치되어있다. 이 투시경에 작용하는 힘(kN)은?,207.8,123.9,87.1,52.4,1
27,점성에 관한 설명으로 틀린 것은?,액체의 점성은 분자 간 결합력에 관계된다.,기체의 점성은 분자 간 운동량 교환에 관계된다.,온도가 증가하면 기체의 점성은 감소된다.,온도가 증가하면 액체의 점성은 감소된다.,3
28,"240mmHg의 절대압력은 계기압력으로 약 몇 kPa인가? (단, 대기압은 760mmHg이고, 수은의 비중은 13.6이다)",-32.0,32.0,-69.3,69.3,3
29,"관의 길이가 l이고, 지름이 d, 관마찰계수가 f일 때, 총 손실 수두 H(m)를 식으로 바르게 나타낸 것은? (단, 입구 손실계 수가 0.5, 출구 손실계수가 1.0, 속도수두는 V2/2g이다.)",,,,,1
