번호,문제,보기1,보기2,보기3,보기4,정답
1,화재의 종류에 따른 분류가 틀린 것은?,A급 : 일반화재,B급 : 유류화재,C급 : 가스화재,D급 : 금속화재,3
2,"1 인가? ① h = 0.643 m, h = 1.413 m",,,,,2
3,위험물과 위험물안전관리법령에서 정한 지정수량을 옳게 연 결한 것은?,무기과산화물 – 300 kg,황화린 - 500 kg,황린 - 20 kg,질산에스테르류 - 200 kg,3
4,다음 중 발화점이 가장 낮은 물질은?,휘발유,이황화탄소,적린,황린,4
5,"화재 시 발생하는 연소가스 중 인체에서 헤모글로빈과 결합 하여 혈액의 산소운반을 저해하고 두통, 근육조절의 장애를 일으키는 것은? ① CO ② CO",,,,,2
6,다음 원소 중 전기 음성도가 가장 큰 것은?,F,Br,Cl,I,1
7,탄화칼슘이 물과 반응 시 발생하는 가연성 가스는?,메탄,포스핀,아세틸렌,수소,3
8,공기의 평균 분자량이 29일 때 이산화탄소 기체의 증기비중 은 얼마인가?,1.44,1.52,2.88,3.24,2
9,밀폐된 공간에 이산화탄소를 방사하여 산소의 체적 농도를 12% 되게 하려면 상대적으로 방사된 이산화탄소의 농도는 얼마가 되어야 하는가?,25.40%,28.70%,38.35%,42.86%,4
10,화재하중의 단위로 옳은 것은?,kg/m2,℃/m2,kg·L/m3,℃·L/m3,1
11,인화점이 20℃인 액체위험물을 보관하는 창고의 인화 위험 성에 대한 설명 중 옳은 것은?,여름철에 창고 안이 더워질수록 인화의 위험성이 커진 다.,겨울철에 창고 안이 추워질수록 인화의 위험성이 커진 다.,20℃에서 가장 안전하고 20℃ 보다 높아지거나 낮아질 수록 인화의 위험성이 커진다.,인화의 위험성은 계절의 온도와는 상관없다.,1
12,소화약제인 IG-541의 성분이 아닌 것은?,질소,아르곤,헬륨,이산화탄소,3
13,이산화탄소 소화약제 저장용기의 설치장소에 대한 설명 중 옳지 않는 것은?,반드시 방호구역 내의 장소에 설치한다.,온도의 변화가 적은 곳에 설치한다.,방화문으로 구획된 실에 설치한다.,해당 용기가 설치된 곳임을 표시하는 표지를 한다.,1
14,화재의 소화원리에 따른 소화방법의 적용으로 틀린 것은?,냉각소화 : 스프링클러설비,질식소화 : 이산화탄소 소화설비,제거소화 : 포소화설비,억제소화 : 할로겐화합물 소화설비,3
15,건축물의 내화구조에서 바닥의 경우에는 철근콘크리트의 두 께가 몇 cm 이상이어야 하는가?,7,10,12,15,2
16,소화효과를 고려하였을 경우 화재 시 사용할 수 있는 물질 이 아닌 것은?,이산화탄소,아세틸렌,Halon 1211,Halon 1301,2
17,질식소화 시 공기 중의 산소농도는 일반적으로 약 몇 vol% 이하로 하여야 하는가?,25,21,19,15,4
18,제1종 분말소화약제의 주성분으로 옳은 것은? ① KHCO ② NaHCO,,,,,2
19,Halon 1301의 분자식은? ① CH Cl ② CH Br,,,,,4
20,다음 중 연소와 가장 관련 있는 화학반응은?,중화반응,치환반응,환원반응,산화반응 2과목 : 소방유체역학,4
21,"체적 0.1m3의 밀폐 용기 안에 기체상수가 0.4615 kJ/kg·K 인 기체 1kg이 압력 2MPa, 온도 250℃ 상태로 들어있다. 이때 이 기체의 압축계수(또는 압축성인자)는?",0.578,0.828,1.21,1.73,2
22,물의 체적탄성계수가 2.5 GPa 일 때 물의 체적을 1% 감소 시키기 위해서 얼마의 압력(MPa)을 가하여야 하는가?,20,25,30,35,2
23,안지름 40mm의 배관 속을 정상류의 물이 매분 150L로 흐 를 때의 평균 유속(m/s)은?,0.99,1.99,2.45,3.01,2
