번호,문제,보기1,보기2,보기3,보기4,정답
1,제 1종 분말소화약제인 탄산수소나트륨은 어떤색으로 착색되 어 있는가?,담회색,담홍색,회색,백색,4
2,③ Na ④ Na,,,,,2
3,화재실 혹은 화재공간의 단위바닥면적에 대한 등가가연물량 의 값을 화재하중이라 하며 식으로 표시할 경우에는 Q=∑ (Gt·Ht)/H·A 와 같이 표현할 수 있다. 여기에서 H는 무엇을 나타내는가?,목재의 단위발열량,가연물의 단위발열량,화재실내 가연물의 전체 발열량,목재의 단위발열량과 가연물의 단위발열량을 합한 것,1
4,피난계획의 일반원칙 중 Fool proof 원칙에 해당하는 것은?,저지능인 상태에서도 쉽게 식별이 가능하도록 그림이나 색채를 이용하는 원칙,피난설비를 반드시 이동식으로 하는 원칙,한 가지 피난기구가 고장이 나도 다른 수단을 이용할 수 있도록 고려하는 원칙,피난설비를 첨단화된 전자식으로 하는 원칙,1
5,"연기에 의한 감광계수가 0.1m-1, 가시거리가 20~30m일 때 의 상황을 옳게 설명한 것은?",건물 내부에 익숙한 사람이 피난에 지장을 느낄 정도,연기감지기가 작동할 정도,어두운 것을 느낄 정도,앞이 거의 보이지 않을 정도,2
6,다음 중 증기비중이 가장 큰 것은?,이산화탄소,할론 1301,할론 1211,할론 2402,4
7,밀폐된 내화건물의 실내에 화재가 발생했을 때 그 실내의 환 경변화에 대한 설명 중 틀린 것은?,기압이 강하한다.,산소가 감소된다.,일산화탄소가 증가한다.,이산화탄소가 증가한다.,1
8,다음 중 제거소화 방법과 무관한 것은?,산불의 확산방지를 위하여 산림의 일부를 벌채한다.,화학반응기의 화재 시 원료 공급관의 밸브를 잠근다.,유류화재 시 가연물을 포로 덮는다.,유류탱크 화재 시 주변에 있는 유류탱크의 유류를 다른 곳으로 이동시킨다.,3
9,분말소화약제의 열분해 반응식 중 다음 ( ) 안에 알맞은 화학 식은? ① CO ② CO,,,,,2
10,"실내에서 화재가 발생하여 실내의 온도가 21℃에서 650℃ 로 되었다면, 공기의 팽창은 처음의 약 몇 배가 되는가? (단, 대기압은 공기가 유동하여 화재 전후가 같다고 가정한 다.)",3.14,4.27,5.69,6.01,1
11,니트로셀룰로오스에 대한 설명으로 틀린 것은?,질화도가 낮을수록 위험성이 크다.,물을 첨가하여 습윤시켜 운반한다.,화약의 원료로 쓰인다.,고체이다.,1
12,조연성가스로만 나열되어 있는 것은?,"질소, 불소, 수증기","산소, 불소, 염소","산소, 이산화탄소, 오존","질소, 이산화탄소, 염소",2
13,칼륨에 화재가 발생할 경우에 주수를 하면 안되는 이유로 가장 옳은 것은?,산소가 발생하기 때문에,질소가 발생하기 때문에,수소가 발생하기 때문에,수증기가 발생하기 때문에,3
14,건축물의 화재성상 중 내화 건축물의 화재 성상으로 옳은 것은?,저온 장기형,고온 단기형,고온 장기형,저온 단기형,1
15,청정소화약제 중 HCFC-22를 82% 포함하고 있는 것은?,IG-541,HFC-227ea,IG-55,HCFC BLEND A,4
16,자연발화의 예방을 위한 대책이 아닌 것은?,열의 축적을 방지한다.,주위 온도를 낮게 유지한다.,열전도성을 나쁘게 한다.,산소와의 접촉을 차단한다.,3
17,물의 물리·화학적 성질로 틀린 것은?,증발잠열은 539.6cal/g으로 다른 물질에 비해 매우 큰 편이다.,대기압하에서 100℃의 물이 액체에서 수증기로 바뀌면 채적은 약 1603배 정도 증가한다.,수소 1분자와 산소 1/2분자로 이루어져 있으며 이들 사 이의 화학결합은 극성 공유결합이다.,분자간의 결합은 쌍극자-쌍극자 상호작용의 일종인 산소 결합에 의해 이루어진다.,4
18,할로겐 화합물 소화설비에서 Halon 1211 약제의 분자식은? ① CBr ClF ② CF BrCl,,,,,2
19,보일 오버(Boil over)현상에 대한 설명으로 옳은 것은?,아래층에서 발생한 화재가 위층으로 급격히 옮겨 가는 현상,연소유의 표면이 급격히 증발하는 현상,기름이 뜨거운 물 표면 아래에서 끓는 현상,탱크 저부의 물이 급격히 증발하여 기름이 탱크 밖으로 화재를 동반하여 방출하는 현상,4
20,"위험물안전관리법상 위험물의 적재 시 혼재기준 중 혼재가 가능한 위험물로 짝지어진 것은? (단, 각 위험물은 지정수량 의 10배로 가정한다.)",질산칼륨과 가솔린,과산화수소와 황린,철분과 유기과산화물,등유와 과염소산 2과목 : 소방유체역학,3
21,유체에 관한 설명 중 옳은 것은?,실제유체는 유동할 때 마찰손실이 생기지 않는다.,이상유체는 높은 압력에서 밀도가 변화하는 유체이다.,유체에 압력을 가하면 체적이 줄어드는 유체는 압축성 유체이다.,압력을 가해도 밀도변화가 없으며 점성에 의한 마찰손실 만 있는 유체가 이상유체이다.,3
22,"송풍기의 풍량 15m3/s, 전압 540Pa, 전압효율이 55%일 때 필요한 축동력은 몇 kW인가?",2.23,4.46,8.1,14.7,4
23,직경 50 ㎝의 배관 내를 유속 0.06m/s의 속도로 흐르는 물 의 유량은 약 몇 L/min 인가?,153,255,338,707,4
24,공기의 온도 T 에서의 음속 c 과 이보다 20K 높은 온도 T,,,,,2
25,다음 계측기 중 측정하고자 하는 것이 다른 것은?,Bourdon 압력계,U자관 마노미터,피에조미터,열선풍속계,4
26,"열전도도가 0.08W/m·K인 단열재의 고온부가 75℃, 저온부 가 20℃이다. 단위 면적당 열손실이 200W/m2인 경우의 단 열재 두께는 몇 mm 인가?",22,45,55,80,1
27,그림과 같은 원형관에 유체가 흐르고 있다. 원형관 내의 유 속분포를 측정하여 실험식을 구하였더니 이었다. 관 속을 흐르는 유체의 평 균속도는 얼마인가?,,,,,3
