번호,문제,보기1,보기2,보기3,보기4,정답
1,건축물의 화재를 확산시키는 요인이라 볼 수 없는 것은?,비화(飛火),복사열(輻射熱),자연발화(自然發火),접염(接炎),3
2,화하려면 공기 중 CO 의 농도는 약 몇 [vol.%]가 증가 되어,,,,,2
3,다음 중 가연물의 제거를 통한 소화 방법과 무관한 것은?,산불의 확산방지를 위하여 산림의 일부를 벌채한다.,화학반응기의 화재 시 원료 공급관의 밸브를 잠근다.,전기실 화재 시 1G-54 약재를 방출한다.,유류탱크 화재 시 주변에 있는 유류탱크의 유류를 다른 곳으로 이동시킨다.,3
4,물의 소화능력에 관한 설명 중 틀린 것은?,다른 물질보다 비열이 크다.,다른 물질보다 융해잠열이 작다.,다른 물질보다 증발잠열이 크다.,밀폐된 장소에서 증발가열되면 산소회석작용을 한다.,2
5,탱크화재 시 발생되는 보일오버(Boil Over)의 방지방법으로 틀린 것은?,탱크 내용물의 기계적 교반,물의 배출,과열 방지,위험물 탱크내의 하부에 냉각수 저장,4
6,물 소화약제를 어떠한 상태로 주수할 경우 전기화재의 진압 에서도 소화능력을 발휘할 수 있는가?,물에 의한 봉상주수,물에 의한 적상주수,물에 의한 무상주수,어떤 상태의 주수에 의해서도 효과가 없다.,3
7,화재 시 CO 를 방사하여 산소농도를 11[vol.%]로 낮추어 소,,,,,1
8,분말 소화약제의 취급 시 주의사항으로 틀린 것은?,습도가 높은 공기 중에 노출되면 고화되므로 항상 주의를 기울인다.,층진시 다른 소화약제와 혼합을 피하기 위하여 종별로 각 각 다른 색으로 착색되어 있다.,실내에서 다량 방사하는 경우 분말을 흡입하지 않도록 한 다.,분말 소화약제와 수성막포를 함께 사용할 경우 포의 소포 현상을 발생시키므로 병용해서는 안된다.,4
9,화재실의 연기를 옥외로 배출시키는 제연방식으로 효과가 가 장 적은 것은?,자연 제연방식,스모크 타워 제연방식,기계식 제연방식,냉난방설비를 이용한 제연방식,4
10,다음 위험물 중 특수인화물이 아닌 것은?,아세톤,디에틸에테르,산화프로필렌,아세트알데히드,1
11,목조건축물의 화재 진행상황에 관한 설명으로 옳은 것은?,화원-발연착화-무염착화-출화-최성기-소화,화원-발염착화-무염착화-소화-연소낙화,화원-무염착화-발염착화-출화-최성기-소화,화원-무염착화-출화-발염착화-최성기-소화,3
12,방호공간 안에서 화재의 세기를 나타내고 화재가 진행되는 과정에서 온도에 따라 변하는 것으로 온도-시간 곡선으로 표시할 수 있는 것은?,화재저항,화재가혹도,화재하중,화재플럼,2
13,다음 중 동일한 조건에서 증발잠열[kJ/kg]이 가장 큰 것은?,질소,할론 1301,이산화탄소,물,4
14,화재 표면온도(절대온도)가 2배가 되면 복사에너지는 몇 배 로 증가 되는가?,2,4,8,16,4
15,"연면적이 1,000[m2] 이상인 건축물에 설치하는 방화벽이 갖추어야 할 기준으로 틀린 것은?",내화구조로서 설 수 있는 구조일 것,방화벽의 양쪽 끝과 위쪽 끝을 건축물의 외벽면 및 지붕 면으로부터 0.1[m] 이상 튀어나오게 할 것,방화벽에 설치하는 출입문의 너비는 2.5[m] 이하로 할 것,방화벽에 설치하는 출입문의 높이는 2.5[m] 이하로 할 것,2
16,도장작업 공정에서의 위험도를 설명한 것으로 틀린 것은?,도장작업 그 자체 못지않게 건조공정도 위험하다.,도장작업에서는 인화성 용제가 쓰이지 않으므로 폭발의 위험이 없다.,도장작업장은 폭발사를 대비하여 지붕을 시공한다.,도장실은 환기덕트를 주기적으로 청소하여 도료가 덕트 내에 부착되지 않게 한다.,2
17,"공기의 부피 비율이 질소 79[%], 산소 21[%]인 전기실에 화재가 발생하여 이산화탄소 소화약제를 방출하여 소화하였 다. 이 때 산소의 부피농도가 14[%]이었다면 이 혼합 공기 의 분자량은 약 얼마인가? (단, 화재시 발생한 연소가스는 무시한다.)",28.9,30.9,33.9,35.9,3
18,산불화재의 형태로 틀린 것은?,지중화 형태,수평화 형태,지표화 형태,수관화 형태,2
19,"석유, 고무, 동물의 털, 가죽 등과 같이 황성분을 함유하고 있는 물질이 불완전연소될 때 발생하는 연소가스로 계란 썩 는 듯한 냄새가 나는 기체는?",아황산가스,시안화수소,황화수소,암모니아,3
20,"다음 가연성 기체 1몰이 완전 연소하는데 필요한 이론 공기 량으로 틀린 것은? (단, 체적비로 계산하며 공기 중 산소의 농도를 21[vol.%]로 한다.)",수소-약 2.38몰,메탄-약 9.52몰,아세틸렌-약 16.97몰,프로판-약 23.81몰 2과목 : 소방유체역학,3
21,"그림에서 물에 의하여 점 B에서 힌자된 사분원 모양의 수문 이 평형을 유지하기 위하여 수면에서 수문을 잡아 당겨야 하는 힘 T는 약 몇 [kN]인가? (단, 수문의 폭 1[m], 반지름 ( )은 2[m], 4분원의 중심은 O점에서 왼쪽으로 4r/3π인 곳에 있다.)",1.96,9.8,19.6,29.4,3
22,물의 온도에 상응하는 증기압보다 낮은 부분이 발생하면 물 은 증발되고 물 속에 있던 공기와 물이 분리되어 기포가 발 생하는 펌프의 현상은?,피드백(Feed Back),서징현상(Surging),공동현상(Cavitation),수격작용(Water Hammering),3
23,단면적이 A와 2A인 U자형 관에 밀도가 d인 기름이 담겨져 있다. 단면적이 2A인 관에 관벽과는 마찰이 없는 물체를 놓 았더니 그림과 같이 평형을 이루었다. 이 때 이 물체의 질 량은? ① 2Ah d ② Ah d,,,,,1
24,"그림과 같이 물이 들어있는 아주 큰 탱크에 사이펀이 장치 되어 있다. 출구에서의 속도 V와 관의 상부 중심 A지점에서 의 게이지 압력 p 를 구하는 식은? (단. g는 중력가속도, ρ A 는 물의 밀도이며, 관의 직경은 일정하고 모든 손실은 무시 한다.)",,,,,2
25,"0.02[m3]의 체적을 갖는 액체가 강체의 실린더 속에서 730[kPa]의 압력을 받고 있다. 압력이 1,030[kPa]로 증가 되었을 때 액체의 체적이 0.019[m3]으로 축소되었다. 이 때 이 액체의 체적탄성계수는 약 몇 [kPa]인가?","3,000","4,000","5,000","6,000",4
26,"비중병의 무게가 비었을 때는 2[N]이고, 액체로 충만되어 있을 때는 8[N]이다. 액체의 체적이 0.5[L]이면 이 액체의 비중량은 약 몇 [N/m3]인가?","11,000","11,500","12,000","12,500",3
27,"10[kg]의 수증기가 들어 있는 체적 2[m3]의 단단한 용기를 냉각하여 온도를 200[℃]에서 150[℃]로 낮추었다. 나중 상 태에서 액체상태의 물은 약 몇 [kg]인가? (단, 150[℃]에서 물의 포화액 및 포화증기의 비체적은 각각 0.0011[m3/kg], 0.3925[m3/kg]이다.)",0.508,1.24,4.92,7.86,3
28,"펌프의 입구 및 출구측에 연결된 진공계와 압력계가 각각 25[mmHg]와 260[kPa]을 가리켰다. 이 펌프의 배출 유량 이 0.15[m3/s]가 되려면 펌프의 동력은 약 몇 [kW]가 되어 야 하는가? (단, 펌프의 입구와 출구의 높이차는 없고, 입구 측 안지름은 20[cm], 출구측 안지름은 15[cm]이다.)",3.95,4.32,39.5,43.2,4
29,"피토관을 사용하여 일정 속도로 흐르고 있는 물의 유속(V) 을 측정하기 위해, 그림과 같이 비중 S인 유체를 갖는 액주 계를 설치하였다. S=2일 때 액주의 높이차이가 H=h가 되 면, S=3일 때 액주의 높이 차(H)는 얼마가 되는가?",h/9,,h/3,h/2,4
30,관내의 흐름에서 부차적으로 손실에 해당하지 않는 것은?,곡선부에 의한 손실,직선 원관 내의 손실,유동단면의 장애물에 의한 손실,관 단면의 급격한 확대에 의한 손실,2
31,"압력 2[MPa]인 수증기 건도가 0.2일 때 엔탈피는 몇 [kJ/kg]인가? (단, 포화증기 엔탈피는 2,780.5[kJ/kg]이고, 포화액의 엔탈피는 910[kJ/kg]이다.)","1,284","1,466","1,845",2.406,1
32,출구 단면적이 0.02[m2]인 수평 노즐을 통하여 물이 수평 방향으로 8[m/s]의 속도로 노즐 출구에 놓여있는 수직 평 판에 분사될 때 평판에 작용하는 힘은 약 몇 [N]인가?,800,"1,280","2,560","12,544",2
33,안지름이 25[mm]인 노즐 선단에서의 방수 압력은 계기 압 력으로 5.8×105[Pa]이다. 이 때 방수량은 약 [m3/s]인가?,0.017,0.17,0.034,0.34,1
34,"수평관의 길이가 100[m]이고, 안지름이 100[mm]인 소화 설비 배관 내를 평균유속 2[m/s]로 물이 흐를 때 마찰손실 수두는 약 몇 [m]인가? (단, 관의 마찰계수는 0.05이다.)",9.2,10.2,11.2,12.2,2
35,수평 원관 내 완전발달 유동에서 유동을 일으키는 힘(ㄱ)과 방해하는 힘(ㄴ)은 각각 무엇인가?,"ㄱ:압력차에 의한 힘, ㄴ:점성력","ㄱ:중력 힘, ㄴ:점성력","ㄱ:중력 힘, ㄴ:압력차에 의한 힘","ㄱ:압력차에 의한 힘, ㄴ:중력 힘",1
36,"외부표면의 온도가 24[℃], 내부표면의 온도가 24.5[℃]일 때, 높이 1.5[m], 폭 1.5[m], 두께 0.5[cm]인 유리창을 총 한 열전달률은 약 몇 [W]인가? (단, 유리창의 열전도계수는 0.8[w/mㆍK]이다.",180,200,"1,800","2,000",1
37,"어떤 용기 내의 이산화탄소(45[kg])가 방호공간에 가스 상 태로 방출되고 있다. 방출 온도가 압력이 15[℃], 101[kPa] 일 때 방출가스의 체적은 약 몇 [m3]인가? (단, 일반 기체 상수는 8,314[J/kmolㆍK]이다.)",2.2,12.2,20.2,24.3,4
38,점성계수와 동점성계수에 관한 설명으로 올바른 것은?,동점성계수=점성계수×밀도,점성계수=동점성계수×중력가속도,동점성계수=점성계수/밀도,점성계수=동점성계수/중력가속도,3
39,"그림과 같은 관에 비압축성 유체가 흐를 때 A 단면의 평균 속도가 V 이라면 B단면에서의 평균속도 V 는? (단, A 단면",,,,,2
40,"일률(시간당 에너지)의 차원을 기본 차원인 M(질량), L(길 이), T(시간)로 올바르게 표시한 것은?",L2T-2,MT-2L-1,ML2T-2,ML2T-3 3과목 : 소방관계법규,4
41,소방시설을 구분하는 경우 소화설비에 해당되지 않는 것은?,스프링클러설비,제연설비,자동확산소화기,옥외소화전설비,2
42,"소방특별조사 결과 소방대상물의 위치ㆍ구조ㆍ설비 또는 관 리의 상황이 화재나 재난ㆍ재해 예방을 위하여 보완될 필요 가 있거나 화재가 발생하면 인명 또는 재산의 피해가 클 것 으로 예상되는 때에 관계인에게 그 소방대상물의 개수ㆍ이 전ㆍ제거, 사용의 금지 또는 제한, 사용폐쇄, 공사의 정지 또는 중지, 그 밖의 필요한 조치를 명할 수 있는 자로 틀린 것은?",시ㆍ도지사,소방서장,소방청장,소방본부장,1
43,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 둘 이상의 특정소방대상물이 내화구조로 된 연결통로가 벽 이 없는 구조로서 그 길이가 몇 [m] 이하인 경우 하나의 소방대상물로 보는가?",6,9,10,12,1
44,"소방대라 함은 화재를 진압하고 화재, 재난ㆍ재해 그 밖의 위급한 상황에서 구조ㆍ구급 활동 등을 하기 위하여 구성된 조직체를 말한다. 소방대의 구성원으로 틀린 것은?",소방공무원,소방안전관리원,의무소방원,의용소방대원,2
45,"소방시설관리업자가 기술인력을 변경하는 경우, 시ㆍ도지사 에게 제출하여야 하는 서류로 틀린 것은?",소방시설관리업 등록수첩,변경된 기술인력의 기술자격증(자격수첩),기술인력 연명부,사업자등록증 사본,4
46,제4류 위험물을 저장ㆍ취급하는 제조소에 “화기엄금”이란 주의사항을 표시하는 게시판을 설치할 경우 게시판의 색상 은?,청색바탕에 백색문자,적색바탕에 백색문자,백색바탕에 적색문자,백색바탕에 흑색문자,2
47,다음 중 품질이 우수하다고 인정되는 소방용품에 대하여 우 수품질인증을 할 수 있는 자는?,산업통상자원부장관,시ㆍ도지사,소방청장,소방본부장 또는 소방서장,3
48,다음 중 고급기술자에 해당하는 학력ㆍ경력 기준으로 옳은 것은?,박사학위를 취득한 후 2년 이상 소방 관련 업무를 수행 한 사람,석사학위를 취득한 후 6년 이상 소방 관련 업무를 수행 한 사람,학사학위를 취득한 후 8년 이상 소방 관련 업무를 수행 한 사람,고등학교를 졸업 후 10년 이상 소방 관련 업무를 수행한 사람,2
49,"소방기본법령상 인접하고 있는 시ㆍ도간 소방업무의 상호응 원협정을 체결하고자 할 때, 포함되어야 하는 사항으로 틀 린 것은?",소방교육ㆍ훈련의 종류에 관한 사항,화재의 경계ㆍ진압활동에 관한 사항,출동대원의 수당ㆍ식사 및 피복의 수선의 소요경비의 부 담에 관한 사항,화재조사활동에 관한 사항,1
50,소방기본법령상 위험물 또는 물건의 보관기간은 소방 본부 또는 소방서의 게시판에 공고하는 기간의 종료일 다음 날부 터 며칠로 하는가?,3일,5일,7일,14일,3
51,"지정수량의 최소 몇 배 이상의 위험물을 취급하는 제조소에 는 피뢰침을 설치해야 하는가? (단, 제6류 위험물을 취급하 는 위험물제조소는 제외하고, 제조소 주위의 상황에 따라 안전상 지장이 없는 경우도 제외한다.)",5배,10배,50배,100배,2
52,산화성고체인 제1류 위험물에 해당되는 것은?,질산염류,특수인화물,과염소산,유기과산화물,1
53,위험물안전관리법상 청문을 실시하여 처분해야 하는 것은?,제조소등 설치허가의 취소,제조소등 영업정지 처분,탱크시험자의 영업정지 처분,과징금 부과 처분,1
54,화재예방 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 특정소방대상물 중 오피스텔은 어느 시설에 해당하는가?,숙박시설,일반업무시설,공동주택,근린생활시설,2
55,"화재예방, 수방시설 설치ㆍ유지 및 안전관리에 관한 법령상, 종사자 수가 5명이고, 숙박시설이 모두 2인용 침대이며 침 대수량은 50개인 청소년 시설에서 수용인원은 몇 명인가?",55,75,85,105,4
56,"다음 중 300만원 이하의 벌금에 해당되지 않는 것은? (문제 오류로 가답안 발표시 2번으로 발표되었지만 확정답안 발표 시 1, 2번이 정답처리 되었습니다. 여기서는 1번을 누르면 정답 처리 됩니다.)",등록수첩을 다른 자에게 빌려준 자,소방시설공사의 완공검사를 받지 아니한 자,소방기술자가 동시에 둘 이상의 업체에 취업한 사람,소방시설공사 현장에 감리원을 배치하지 아니한 자,1
57,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 건축허가등의 동의를 요구한 기관이 그 건축허가 등을 취소 하였을 때, 최소한 날로부터 최대 며칠 이내에 건축물 등의 시공지 또는 소재지를 관할하는 소방본부장 또는 소방서장 에게 그 사실을 통보하여야 하는가?",3일,4일,7일,10일,3
58,소방기본법상 화재 현장에서의 피난 등을 체험할 수 있는 소방체험관의 설립ㆍ운영권자는?,시ㆍ도지사,행정안전부장관,소방본부장 또는 소방서장,소방청장,1
59,소방기본법령상 소방활동구역의 출입자에 해당되지 않는 자 는?,소방활동구역 안에 있는 소방대상물의 소유자ㆍ관리자 또는 점유자,전기ㆍ가스ㆍ수도ㆍ통신ㆍ교통의 업무에 종사하는 사람 으로서 원활한 소방활동을 위하여 필요한 자,화재건물과 관련 있는 부동산업자,취재인력 등 보도업무에 종사하는 자,3
60,"소방본부장 또는 소방서장은 건축허가 등의 동의요구 서류 를 접수한 날부터 최대 며칠 이내에 건축허가 등의 동의여 부를 회신하여야 하는가? (단, 허가 신청한 건축물은 지상으 로부터 높이가 200[m]인 아파트이다.)",5일,7일,10일,15일 4과목 : 소방기계시설의 구조 및 원리,3
