번호,문제,보기1,보기2,보기3,보기4,정답
1,다음 중 열전도율이 가장 작은 것은?,알루미늄,철재,은,암면(광물섬유),4
2,"공기와 할론 1301의 혼합기체에서 할론 1301에 비해 공기의 확산속도는 약 몇 배인가? (단, 공기의 평균분자량은 29, 헐 론 1301의 분자량은 149이다.)",2.27배,3.85배,5.17배,6.46배,1
3,하므로 소화가 된다. ④ 열분해 생성물인 암모니아가 부촉매 작용을 하므로 소화 가 된다.,,,,,4
4,2 소(N ) 25%이다. 이 혼합 기체의 질량은 약 몇 kg인가?,,,,,4
5,질식소화 시 공기 중의 산소농도는 일반적으로 약 몇 vol% 이하로 하여야 하는가?,25,21,19,15,4
6,내화구조의 기준 중 벽의 경우 벽돌조로서 두께가 최소 몇 cm 이상이어야 하는가?,5,10,12,19,4
7,다음 원소 중 수소와의 결합력이 가장 큰 것은?,F,Cl,Br,I,1
8,다음 중 연소 시 아황산가스를 발생시키는 것은?,적린,유황,트리에틸알루미늄,황린,2
9,화재를 소화하는 방법 중 물리적 방법에 의한 소화가 아닌 것은?,억제소화,제거소화,질식소화,냉각소화,1
10,화재의 소화원리에 따른 소화방법의 적용으로 틀린 것은?,냉각소화 : 스프링클러설비,질식소화 : 이산화탄소 소화설비,제거소화 : 포소화설비,억제소화 : 할로겐화합물 소화설비,3
11,표면온도가 300℃에서 안전하게 작동하도록 설계된 히터의 표면온도가 360℃로 상승하면 300℃에 비하여 약 몇 배의 열을 방출할 수 있는가?,1.1배,1.5배,2.0배,2.5배,2
12,"프로판 50vol.%,부탄 40vol.%,프로필렌 10vol.%로 된 혼합 가스의 폭발하한계는 약 vol.%인가? (단, 각 가스의 폭발하 한계는 프로판은 2.2vol.%, 부탄은 1.9vol.% 프로필렌은 2.4vol.%이다.)",0.83,2.09,5.05,9.44,2
13,동식물유류에서 “요오드값이 크다.” 라는 의미를 옳게 설명 한 것은?,불포화도가 높다.,불건성유이다.,자연발화성이 낮다.,산소와의 결합이 어렵다.,1
14,탄화칼슘이 물과 반응 할 때 발생되는 기체는?,일산화탄소,아세틸렌,황화수소,수소,2
15,"에테르, 케톤. 에스테르, 알데히드, 카르복실산. 아민 등과 같은 가연성인 수용성 용매에 유효한포 소화약제는?",단백포,수성막포,불화단백포,내알콜포,4
16,화재 시 이산화탄소를 사용하여 화재를 진압 하려고 할 때 산소의 농도를 13vol%로 낮추어 화재를 진압하려면 공기 중 이산화탄소의 농도는 약 몇 vol%가 되어야 하는가?,18.1,28.1,38.1,48.1,3
17,유류탱크에 화재 시 발생하는 슬롭오버(Slop over)현상에 관한 설명으로 틀린 것은?,소화 시 외부에서 방사하는 포에 의해 발생한다.,연소유가 비산되어 탱크 외부까지 화재가 확산된다.,탱크의 바닥에 고인 물의 비등 팽창에 의해 발생한다.,연소면의 온도가 100℃ 이상일 때 물을 주수하면 발생된 다.,3
18,가연물이 연소가 잘 되기 위한 구비조건으로 틀린 것은?,열전도율이 클 것,산소와 화학적으로 친화력이 클 것,표면적이 클 것,활성화에너지가 작을 것,1
19,주성분이 인산염류인 제3종 분말소화약제가 다른 분말소화 약제와 다르게 A급 화재에 적용할 수 있는 이유는? ① 열분해 생성물인 CO 가 열을 흡수하므로 냉각에 의하여,,,,,3
20,위험물의 유별 성질이 자연발화성 및 금수성 물질은 제 몇 류 위험물인가?,제1류 위험물,제2류 위험물,제3류 위험물,제4류 위험류 2과목 : 소방유체역학,3
21,"그림과 같은 삼각형 모양의 평판이 수직으로 유체 내에 놓 여 있을 때 압력에 의한 힘의 작용점은 자유표면에서 얼마 나 떨어져 있는가? (단, 삼각형의 도심에서 단면 2차모멘트 는 bh3/36이다.)",h/4,h/3,h/2,2h/3,3
22,압력의 변화가 없을 경우 0℃의 이상기체는 약 몇 ℃가 되 면 부피가 2배로 되는가?,273℃,373℃,546℃,646℃,1
23,"서로 다른 재질로 만든 평관의 양쪽 온도가 다음과 같을 때, 동일한 면적 및 두께를 통한 열류량이 모두 동일하다면, 어느 것이 단열계로서 성능이 가장 우수한가?",30℃ ~ 10℃,10℃ ~ -10℃,20℃ ~ 10℃,40℃ ~ 10℃,4
24,지름 40㎝인 소방용 배관에 물이 80kg/s로 흐르고 있다면 물의 유속은 약 몇 m/s인가?,6.4,0.64,12.7,1.27,2
25,"동력 (power)의 차원을 옳게 표시 한 것은? (단, M : 질량, L : 길이, T : 시간을 나타낸다.)",ML2T-3,L2T-1,ML-1T-1,MLT-2,1
26,계기압력(gauge pressure) 이 50kPa인 파이프 속의 압력은 진공압력(vacuum pressure) 이 30kPa인 용기 속의 압력보 다 얼마나 높은가?,0kPa (동일하다.),20kPa,80kPa,130kPa,3
27,그림에서 두 피스톤의 지름이 각각 30㎝와 5㎝이다. 큰 피 스톤이 1㎝ 아래로 움직이면 작은 피스톤은 위로 몇 ㎝ 움 직이는가?,1㎝,5㎝,30㎝,36㎝,4
28,"직사각형 단면의 덕트에서 가로와 세로가 각각 a 및 1.5a이 고, 길이가 L이며, 이 안에서 공기가 V의 평균속도로 흐르 고 있다. 이때 손실수두를 구하는 식 으로 옳은 것은? (단, f는 이 수력지름에 기초한 마찰계수이고, g는 중력가속도를 의미 한다.)",,,,,1
29,65%의 효율을 가진 원심펌프를 통하여 물을 1m3/s의 유량 으로 송출시 필요한 펌프수두가 6m이다. 이때 펌프에 필요 한 축동력은 약 몇 kW인가?,40kW,60kW,80kW,90kW,4
30,중력가속도가 2m/s2인 곳에서 무게가 8kN이고 부피가 5m3 인 물체의 비중은 약 얼마인가?,0.2,0.8,1.0,1.6,2
31,"관 내 물의 속도가 12m/s, 압력이 103kPa이다. 속도수두 (Hv)와 압력수두(Hp)는 각각 약 몇 m인가?","Hv = 7.35, Hp = 9.8","Hv = 7.35, Hp = 10.5","Hv = 6.52, Hp = 9.8","Hv = 6.52, Hp = 10.5",2
32,"그림과 같이 물탱크에서 2m2의 단면적을 가진 파이프를 통 해 터빈으로 물이 공급되고 있다. 송출되는 터빈은 수면으 로부터 30m 아래에 위치하고, 유량은 10m3/s이고 터빈 효 율이 80%일 때 터빈 출력은 약 몇 kW인가? (단, 밴드나 밸 브 등에 의한 부차적 손실계수는 2로 가정한다.)",1254,2690,2152,3363,3
33,"노즐에서 분사되는 물의 속도가 12m/s이고, 분류에 수직인 평판은 속도 u=4m/s로 움직일 때, 평판이 받는 힘은 약 몇 N인가? (단, 노즐(분류)의 단면적은 0.01m2이다.)",640,960,1280,1440,1
34,가역 단열 과정 에서 엔트로피 변화 AS는?,∆S >1,0 <∆S <1,∆S = 1,∆S = 0,4
35,"온도가 37.5℃인 원유가 0.3m3/ s의 유량으로 원관에 흐르 고 있다. 레이놀즈수가 2100일 때, 관의 지름은 약 몇 m인 가? (단, 원유의 동점성계수는 6x10-5m2/s이다.)",1.25,2.45,3.03,4.45,3
36,"안지름 300㎜, 길이 200m인 수평 원관을 통해 유량 0.2m3/s의 물이 흐르고 있다. 관의 양 끝단에서 의 압력 차 이가 500mmHg이면 관의 마찰계수는 약 얼마인가? (단, 수 은의 비중은 13.6이다.)",0.017,0.025,0.038,0.041,2
37,뉴튼(Newton)의 점성법칙을 이용한 회전원통식 점도계는?,세이볼트 점도계,오스트발트 점도계,레드우드 점도계,스토머 점도계,4
38,"분당 토출량이 1600L, 전양정이100m인 물 펌프의 회전수를 1000rpm에서 1400rpm으로 증가하면 전동기 소요동력은 약 몇 kW가 되어야 하는가? (단, 펌프의 효율은 65%이고, 전 달계수는 1.1이다.)",441,82.1,121,142,3
39,펌프의 공동현상(cavitation)을 방지하기 위한 방법이 아닌 것은?,펌프의 설치 위치를 되도록 낮게 하여 흡입 양정을 짧게 한다.,단흡입펌프보다는 양흡입펌프를 사용한다.,펌프의 흡입 관경을 크게 한다.,펌프의 회 전수를 크게 한다.,4
40,"체적 2000L의 용기 내에서 압력 0.4MPa, 온도 55℃의 혼 합기체의 체적비가 각각 메탄(CH ) 35%, 수소(H ) 40%, 질",,,,,3
41,소방기본법상 소방대장의 권한이 아닌 것은?,화재가 발생하였을 때에는 화재의 원인 및 피해 등에 대 한 조사,"화재, 재난·재해 그 밖의 위급한 상황이 발생한 현장에 소방활동구역을 정하여 소방활동에 필요한 사람으로서 대통령령으로 정하는 사람 외에는 그 구역에 출입하는 것을 제한",사람을 구출하거나 불이 번지는 것을 막기 위하여 필요 할 때에는 화재가 발생하거나 불이 번질 우려가 있는 소 방대상물 및 토지를 일시적으로 사용하거나 그 사용의 제한 또는 소방활동에 필요한 처분,화재 진압 등 소방활동을 위하여 필요할 때에는 소방용 수 외에 댐·저수지 또는 수영장 등의 물을 사용하거나 수도의 개폐장치 등을 조작,1
42,위험물안전관리법상 위험물시설의 변경 기준 중 다음 ( ) 안 에 알맞은 것은?(관련 규정 개정전 문제로 기존 정답은 2번 이며 여기서는 2번을 누르면 정답 처리됩니다. 자세한 내용 은 해설을 참고하세요.),"㉠ 1, ㉡ 소방본부장 또는 소방서장","㉠ 1, ㉡ 시·도지사","㉠ 7, ㉡ 소방본부장 또는 소방서장","㉠ 7, ㉡ 시·도지사",2
43,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 자동화재탐지설비를 설치하여야 하는 특정소방대상물의 기 준으로 틀린 것은?",문화 및 집회시설로서 연면적이 1000m2 이상인 것,지하가 (터널은 제외)로서 연면적이 1000m2 이상인 것,의료시설(정신의료기관 또는 요양병원은 제외)로서 연면 적 1000m2 이상인것,지하가 중 터널로서 길이가 1000m 이상인 것,3
