번호,문제,보기1,보기2,보기3,보기4,정답
1,건축물에 설치하는 방화벽의 구조에 대한 기준 중 틀린 것 은?,내화구조로서 홀로 설 수 있는 구조이어야 한다.,방화벽의 양쪽 끝은 지붕면으로부터 0.2m 이상 튀어 나 오게 하여야 한다.,방화벽의 위쪽 끝은 지붕면으로부터 0.5m 이상 튀어 나 오게 하여야 한다.,방화벽에 설치하는 출입문은 너비 및 높이가 각각 2.5m 이하인 갑종방화문을 설치하여야 한다.,2
2,목재 화재 시 다량의 물을 뿌려 소화할 경우 기대되는 주된 소화효과는?,제거효과,냉각효과,부촉매효과,희석효과,2
3,폭발의 형태 중 화학적 폭발이 아닌 것은?,분해폭발,가스폭발,수증기폭발,분진폭발,3
4,이산화탄소 20g은 몇 mol인가?,0.23,0.45,2.2,4.4,2
5,FM200이라는 상품명을 가지며 오존파괴 지수(ODP)가 0인 할론 대체 소화약제는 무슨 계열인가?,HFC 계열,HCFC 계열,FC 계열,Blend 계열,1
6,포소화약제 중 고팽창포로 사용할 수 있는 것은?,단백포,불화단백포,내알코올포,합성계면활성제포,4
7,공기 중에서 자연발화 위험성이 높은 물질은?,벤젠,톨루엔,이황화탄소,트리 에틸알루미늄,4
8,분말소화약제에 관한 설명 중 틀린 것은?,제1종 분말은 담홍색 또는 황색으로 착색되어 있다.,분말의 고화를 방지하기 위하여 실리콘 수지 등으로 방습 처리 한다.,일반화재에도 사용할 수 있는 분말소화약제는 제3종 분말 이다.,제2종 분말의 열분해식은 2KHCO → K CO ＋CO ＋H O,1
9,화재의 종류에 따른 분류가 틀린 것은?,A 급 : 일반화재,B 급 : 유류화재,C 급 : 가스화재,D급 : 금속화재,3
10,연소확대 방지를 위한 방화구획과 관계없는 것은?,일반 승강기의 승강장 구획,층 또는 면적별 구획,용도별 구획,방화댐퍼,1
11,"질소 79.2vol.%, 산소 20.8vol.%로 이루어진 공기의 평균분 자량은?",15.44,20.21,28.83,36.00,3
12,제3류 위험물로서 자연발화성만 있고 금수성이 없기 때문에 물속에 보관하는 물질은?,염소산암모늄,황린,칼륨,질산,2
13,화재 시 소화에 관한 설명으로 틀린 것은?,내알코올포 소화약제는 수용성용제의 화재에 적합하다.,물은 불에 닿을 때 증발하면서 다량의 열을 흡수하여 소 화한다.,제3종 분말소화약제는 식용유화재에 적합하다.,할로겐화합물 소화약제는 연쇄반응을 억제하여 소화한 다.,3
14,고비점 유류의 탱크화재 시 열유층에 의해 탱크 아래의 물 이 비등·팽창하여 유류를 탱크 외부로 분출시켜 화재를 확 대시키는 현상은?,보일 오버(Boil over),롤 오버 (Roll over),백 드래프트(Back draft),플래시 오버(Flash over),1
15,건물의 주요 구조부에 해당되지 않는 것은?,바닥,천장,기둥,주계단,2
16,공기 중에서 연소범위가 가장 넓은 물질은?,수소,이황화탄소,아세틸렌,에테르,3
17,휘발유의 위험성에 관한 설명으로 틀린 것은?,일반적인 고체 가연물에 비해 인화점이 낮다.,상온에서 가연성 증기가 발생한다.,증기는 공기보다 무거워 낮은 곳에 체류한다.,물보다 무거워 화재발생 시 물분무소화는 효과가 없다.,4
18,피난층에 대한 정의로 옳은 것은?,지상으로 통하는 피난계단이 있는 층,비상용 승강기의 승강장이 있는 층,비상용 출입구가 설치되어 있는 층,직접 지상으로 통하는 출입구가 있는 층,4
19,"전기불꽃, 아크 등이 발생하는 부분을 기름 속에 넣어 폭발 을 방지하는 방폭구조는?",내압방폭구조,유입방폭구조,안전증방폭구조,특수방폭구조,2
20,할로겐원소의 소화효과가 큰 순서대로 배열된 것은?,I >Br >Cl >F,Br >I >F >Cl,Cl >F >I >Br,F >Cl >Br >I 2과목 : 소방유체역학,1
21,"질량 m[kg]의 어떤 기체로 구성된 밀폐계가 Q[kg]의 열을 받아 일을 하고, 이 기체의 온도가 △C℃ 상승하였다면 이 계가 외부에 한 일(W)은? (단, 이 기체의 정적비열은 Cv [kJ/(kg·K)], 정압비열은 Cp [kJ/(kg·K)]이다.)",W = Q - mCv△T,W = Q ＋ mCv△T,W = Q - mCp△T,W = Q ＋ mCp△T,1
22,그림과 같이 수조의 밑 부분에 구멍을 뚫고 물을 유량 Q로 방출시키고 있다. 손실을 무시할 때 수위가 처음 높이의 1/2로 되었을 때 방출되는 유량은 어떻게 되는가?,1/√2·Q,1/2·Q,1/√3·Q,1/3·Q,1
23,"그림과 같이 기름이 흐르는 관에 오리피스가 설치되어 있 고, 그 사이의 압력을 측정하기 위해 U 자형 차압 액주계가 설치되어 있다. 이때 두 지점 간의 압력차(Px-Py)는 약 몇 kPa인가?",28.8,15.7,12.5,3.14,3
24,지름이 5㎝인 소방 노즐에서 물제트가 40m/s의 속도로 건 물 벽에 수직으로 충돌하고 있다. 벽이 받는 힘은 약 몇 N 인가?,1204,2253,2570,3141,4
25,"체적이 0.1m3인 탱크 안에 절대압력이 1000kPa인 공기가 6.5kg/m3의 밀도로 채워져 있다. 시간이 t=0일 때 단면적이 70mm2인 1차원 출구로 공기가 300m/s의 속도로 빠져나가 기 시작 한다면 그 순간에서의 밀도 변화율 kg/ (m3·s)은 약 얼마인가? (단, 탱크 안의 유체의 특성량은 일정하다고 가정한다.)",-1.365,-1.865,-2.365,-2.865,1
26,"모세관에 일정한 압력차를 가함에 따라 발생하는 층류 유동 의 유량을 측정함으로써 유체의 점도를 측정할 수 있다. 같 은 압력차에서 두 유체의 유량의 비 Q /Q =2이고, 밀도비",,,,,2
27,다음 중 동일한 액체의 물성치를 나타낸 것이 아닌 것은?,비중이 0.8,밀도가 800kg/m3,비중량이 7840N/m3,비체적이 1.25m3/kg,4
28,길이가 5m이며 외경과 내경이 각각 40㎝와 30㎝인 환형 (annular)관에 물이 4m/s의 평균속도로 흐르고 있다. 수력 지름에 기초한 마찰계수가 0.02일 때 손실수두는 약 몇 m 인가?,0.063,0.204,0.472,0.816,4
29,"열전달 면적이 A이고 온도 차이가 10℃, 벽의 열전도율이 10W/(m·k), 두께 25㎝인 벽을 통한 열류량은 100W이다. 동일한 열전달 면적에서 온도 차이가 2배, 벽의 열전도율이 4배가 되고 벽의 두께가 2배가 되는 경우 열류량은 약 몇 W인가?",50,200,400,800,3
30,"길이 1200m, 안지름 100mm인 매끈한 원관을 통해서 0.01m3/s의 유량으로 기름을 수송한다. 이때 관에서 발생하 는 압력손실은 약 몇 kPa인가? (단, 기름의 비중은 0.8, 점 성계수는 0.06N·s/m2이다.)",163.2,201.5,293.4,349.7,3
31,"Carnot 사이클이 800K의 고온 열원과 500K의 저온 열원 사이에서 작동한다. 이 사이클에 공급하는 열량이 사이클 당 800kJ이라 할 때, 한 사이클 당 외부에 하는 일은 약 몇 k j인가?",200,300,400,500,2
32,"대기 중으로 방사되는 물제트에 피토관의 흡입구를 갖다 대 었을 때, 피토관의 수직부에 나타나는 수주의 높이가 0.6 m 라고 하면, 물제트의 유속은 약 몇 m/s인가? (단, 모든 손 실은 무시한다.)",0.25,1.55,2.75,3.43,4
33,안지름이 13mm인 옥내소화전의 노즐에서 방출되는 물의 압력(계기압력)이 230kPa이라면 10분 동안의 방수량은 약 몇 m3인가?,1.7,3.6,5.2,7.4,1
34,"계기압력이 730mmHg이고 대기압이 101.3kPa 일 때 절대 압력은 약 몇 kPa인가? (단, 수은의 비중은 13.6이다.)",198.6,100.2,214.4,93.2,1
35,펌프의 공동현상(cavitation)을 방지하기 위한 대책으로 옳지 않은 것은?,펌프의 설치높이를 될 수 있는 대로 높여서 흡입양정을 길게 한다.,펌프의 회전수를 낮추어 흡입 비속도를 적게 한다.,단흡입펌프보다는 양흡입펌프를 사용한다.,"밸브, 플랜지 등의 부속품 수를 줄여서 손실수두를 줄인 다.",1
36,이상적인 교축 과정 (throttling process)에 대한 설명 중 옳 은 것은?,압력이 변하지 않는다.,온도가 변하지 않는다.,엔탈피가 변하지 않는다.,엔트로피가 변하지 않는다.,3
37,"피스톤 A 의 반지름이 A 의 반지름의 2배이며, A 과 A 사에",,,,,3
38,"전양정 80m, 토출량 500L/min인 물을 사용하는 소화펌프가 있다. 펌프효율 65%, 전달계수(K) 1.1인 경우 필요한 전동 기의 최소 동력은 약 몇 kW인가?",9 kW,11 kW,13 kW,15 kW,2
39,"그림과 같이 수조에 비중이 1.03인 액체가 담겨있다. 이 수 조의 바닥면적이 4m2일 때의 수조바닥 전체에 작용하는 힘 은 약 몇 kN인가? (단, 대기압은 무시한다.)",98,51,156,202,4
40,"유체가 평판 위를 u(m/s)=500y-6y2의 속도분포로 흐르고 있다. 이때 y(m)는 벽면으로부터 측정된 수직거리일 때 벽 면에서의 전단응력은 약 몇 N/m2인가? (단, 점성계수는 1.4×10-3Pa·s이다.)",14,7,1.4,0.7 3과목 : 소방관계법규,4
41,대통령령으로 정하는 특정소방대상물의 소방시설 중 내진설 계 대상이 아닌 것은?,옥내소화전설비,스프링클러설비,미분무소화설비,연결살수설비,4
42,위험물로서 제1석유류에 속하는 것은?,중유,휘발유,실린더유,등유,2
43,방염성능기준 이상의 실내장식물 등을 설치해야 하는 특정 소방대상물이 아닌 것은?,건축물 옥내에 있는 종교시설,방송통신시설 중 방송국 및 촬영소,층수가 11층 이상인 아파트,숙박이 가능한 수련시설,3
44,정기점검의 대상이 되는 제조소등이 아닌 것은?,옥내탱크저장소,지하탱크저장소,이동탱크저장소,이송취급소,1
45,특정소방대상물의 소방시설 설치의 면제기준 중 다음 ( ) 안 에 알맞은 것은?,자동화재탐지설비,스프링클러설비,비상조명등,무선통신보조설비,1
46,행정안전부령으로 정하는 연소 우려가 있는 구조에 대한 기 준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 3, ㉡ 5","㉠ 5, ㉡ 8","㉠ 6, ㉡ 8","㉠ 6 , ㉡ 10",4
47,건축허가 등을 함에 있어서 미리 소방본부장 또는 소방서장 의 동의를 받아야 하는 건축물 등의 범위기준이 아닌 것은?,노유자시설 및 수련시설로서 연면적 100m2 이상인 건축 물,지하층 또는 무창층이 있는 건축물로서 바닥면적이 150m2 이상인 층이 있는 것,차고·주차장으로 사용되는 바닥면적이 200m2 이상인 층 이 있는 건축물이나 주차시설,장애인 의료재활시설로서 연면적 300m2 이상인 건축물,1
48,소방용수시설의 설치기준 중 주거지역·상업지역 및 공업지 역에 설치하는 경우 소방대상물과의 수평거리는 최대 몇 m 이하 인가?,50,100,150,200,2
49,자동화재탐지설비의 일반 공사감리기간으로 포함시켜 산정 할 수 있는 항목은?,고정금속구를 설치하는 기간,전선관의 매립을 하는 공사기간,공기유입구의 설치기간,소화약제 저장용기 설치기간,2
50,소방시설업의 반드시 등록 취소에 해당하는 경우는?,거짓이나 그 밖의 부정한 방법으로 등록한 경우,다른 자에게 등록증 또는 등록수첩을 빌려준 경우,소속 소방기술자를 공사현장에 배치하지 아니하거나 거 짓으로 한 경우,등록을 한 후 정당한 사유 없이 1년이 지날 때까지 영업 을 시작하지 아니하거나 계속하여 1년 이상 휴업한 경우,1
51,"건축물의 공사 현장에 설치하여야 하는 임시소방시설과 기 능 및 성능이 유사하여 임시소방시설을 설치한 것으로 보는 소방시설로 연결이 틀린 것은? (단, 임시소방시설- 임시소 방시설을 설치한 것으로 보는 소방시설 순이다.)",간이소화장치 - 옥내소화전,간이피난유도선 - 유도표지,비상경보장치 - 비상방송설비,비상경보장치 - 자동화재탐지설비,2
52,경보설비 중 단독경보형 감지기를 설치해야 하는 특정소방 대상물의 기준으로 틀린 것은?(관련 규정 개정전 문제로 여 기서는 기존 정답인 4번을 누르면 정답 처리됩니다. 자세한 내용은 해설을 참고하세요.),연면적 600m2 미만의 숙박시설,연면 적 1000m2 미만의 아파트 등,연면적 1000m2 미만의 기숙사,교육연구시설 내에 있는 연면적 3000m2 미만의 합숙소,4
