번호,문제,보기1,보기2,보기3,보기4,정답
1,일반적인 플라스틱 분류 상 열경화성 플라스틱에 해당하는 것은?,폴리에틸렌,폴리염화비닐,페놀수지,폴리스티렌,3
2,공기 중에서 수소의 연소범위로 옳은 것은?,0.4 ~ 4 vol%,1 ~ 12.5 vol%,4 ~ 75 vol%,67 ~ 92 vol%,3
3,건물 내 피난동선의 조건으로 옳지 않은 것은?,2개 이상의 방향으로 피난할 수 있어야 한다.,가급적 단순한 형태로 한다.,통로의 말단은 안전한 장소이어야 한다.,수직동선은 금하고 수평동선만 고려한다.,4
4,증발잠열을 이용하여 가연물의 온도를 떨어뜨려 화재를 진압 하는 소화방법은?,제거소화,억제소화,질식소화,냉각소화,4
5,열분해에 의해 가연물 표면에 유리상의 메타인산 피막을 형 성하여 연소에 필요한 산소의 유입을 차단하는 분말약제는?,요소,탄산수소칼륨,제1인산암모늄,탄산수소나트륨,3
6,화재를 소화하는 방법 중 물리적 방법에 의한 소화가 아닌 것은?,억제소화,제거소화,질식소화,냉각소화,1
7,물과 반응하여 가연성 기체를 발생하지 않는 것은?,칼륨,인화아연,산화칼슘,탄화알루미늄,3
8,다음 물질을 저장하고 있는 장소에서 화재가 발생하였을 때 주수소화가 적합하지 않은 것은?,적린,마그네슘 분말,과염소산칼륨,유황,2
9,과산화수소와 과염소산의 공통성질이 아닌 것은?,산화성 액체이다.,유기화합물이다.,불연성 물질이다.,비중이 1보다 크다.,2
10,다음 중 가연성 가스가 아닌 것은?,일산화탄소,프로판,아르곤,메탄,3
11,화재 발생 시 인간의 피난 특성으로 틀린 것은?,본능적으로 평상 시 사용하는 출입구를 사용한다.,최초로 행동을 개시한 사람을 따라서 움직인다.,공포감으로 인해서 빛을 피하여 어두운 곳으로 몸을 숨 긴다.,무의식중에 발화 장소의 반대쪽으로 이동한다.,3
12,실내화재에서 화재의 최성기에 돌입하기 전에 다량의 가연 성 가스가 동시에 연소되면서 급격한 온도상승을 유발하는 현상은?,패닉(Panic) 현상,스택(Stack) 현상,화이어 볼(Fire Ball) 현상,플래쉬 오버(Flash Over) 현상,4
13,다음 원소 중 할로겐족 원소인 것은?,Ne,Ar,Cl,Xe,3
14,피난 시 하나의 수단이 고장 등으로 사용이 불가능하더라도 다른 수단 및 방법을 통해서 피난 할 수 있도록 하는 것으 로 2방향 이상의 피난통로를 확보하는 피난대책의 일반 원 칙은?,Risk-down 원칙,Feed-back 원칙,Fool-proof 원칙,Fail-safe 원칙,4
15,목재건축물의 화재 진행과정을 순서대로 나열한 것은?,무염착화－발염착화－발화－최성기,무염착화－최성기－발염착화－발화,발염착화－발화－최성기－무염착화,발염착화－최성기－무염착화－발화,1
