번호,문제,보기1,보기2,보기3,보기4,정답
1,소화기구 및 자동소화장치의 화재안전기준에 따르면 소화기 구(자동확산소화기는 제외)는 거주자 등이 손쉽게 사용할 수 있는 장소에 바닥으로부터 높이 몇 m 이하의 곳에 비치하여 야 하는가?,0.5,1.0,1.5,2.0,3
2,화재의 분류방법 중 유류화재를 나타낸 것은?,A급 화재,B급 화재,C급 화재,D급 화재,2
3,연기감지기가 작동할 정도이고 가시거리가 20~30m 에 해당 하는 감광계수는 얼마인가?,0.1m-1,1.0m-1,2.0m-1,10m-1,1
4,소화약제로 사용되는 물에 관한 소화성능 및 물성에 대한 설 명으로 틀린 것은?,비열과 증발잠열이 커서 냉각소화 효과가 우수하다.,물(15℃)의 비열은 약 1cal/g·℃ 이다.,물(100℃)의 증발잠열은 439.6kcal/g 이다.,물의 기화에 의한 팽창된 수증기는 질식소화 작용을 할 수 있다.,3
5,소화에 필요한 CO 의 이론소화농도가 공기 중에서 37Vol%,,,,,1
6,물리적 소화방법이 아닌 것은?,연쇄반응의 억제에 의한 방법,냉각에 의한 방법,공기와의 접촉 차단에 의한 방법,가연물 제거에 의한 방법,1
7,Halon 1211의 화학식에 해당하는 것은? ① CH BrCl ② CF ClBr,,,,,2
8,마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?,산소,수소,일산화탄소,이산화탄소,2
9,제2종 분말소화약제의 주성분으로 옳은 것은? ① NaH PO ② KH PO,,,,,4
10,조연성가스로만 나열되어 있는 것은?,"질소, 불소, 수증기","산소, 불소, 염소","산소, 이산화탄소, 오존","질소, 이산화탄소, 염소",2
11,위험물안전관리법령상 자기반응성물질의 품명에 해당하지 않는 것은?,니트로화합물,할로겐간화합물,질산에스테르류,히드록실아민염류,2
12,건축물 화재에서 플래시 오버(Flash over) 현상이 일어나는 시기는?,초기에서 성장기로 넘어가는 시기,성장기에서 최성기로 넘어가는 시기,최성기에서 감쇠기로 넘어가는 시기,감쇠기에서 종기로 넘어가는 시기,2
13,물과 반응하였을 때 가연성 가스를 발생하여 화재의 위험성 이 증가하는 것은?,과산화칼슘,메탄올,칼륨,과산화수소,3
14,인화칼슘과 물이 반응할 때 생성되는 가스는?,아세틸렌,황화수소,황산,포스핀,4
